seed,split,n,positive_rate,clean_oracle_accuracy,mean_abs_latent_margin,heldout_n
11,train,810,0.4876543209876543,1.0,0.27076772371291336,0
11,val,270,0.48148148148148145,1.0,0.26082367744420804,0
11,test,360,0.4861111111111111,1.0,0.2698945213631507,0
11,ood_composition,180,0.49444444444444446,1.0,0.24132295573149148,180
11,ood_depth,180,0.4222222222222222,1.0,0.19607115683806886,0
23,train,810,0.49135802469135803,1.0,0.2641971663559695,0
23,val,270,0.5333333333333333,1.0,0.2621261276516258,0
23,test,360,0.4861111111111111,1.0,0.2663963142874997,0
23,ood_composition,180,0.4111111111111111,1.0,0.22872290969019396,180
23,ood_depth,180,0.4388888888888889,1.0,0.193646159895756,0
37,train,810,0.4901234567901235,1.0,0.2673456152644773,0
37,val,270,0.4777777777777778,1.0,0.2645526882903276,0
37,test,360,0.4638888888888889,1.0,0.2618184004142848,0
37,ood_composition,180,0.38333333333333336,1.0,0.23508864401031934,180
37,ood_depth,180,0.5055555555555555,1.0,0.19669820832225943,0
41,train,810,0.4469135802469136,1.0,0.2683249805570627,0
41,val,270,0.48518518518518516,1.0,0.26924891046827387,0
41,test,360,0.5055555555555555,1.0,0.2739733243798703,0
41,ood_composition,180,0.42777777777777776,1.0,0.23407213338877447,180
41,ood_depth,180,0.5055555555555555,1.0,0.1908371234970084,0
53,train,810,0.49876543209876545,1.0,0.26367714809615145,0
53,val,270,0.4888888888888889,1.0,0.27547680878343345,0
53,test,360,0.48333333333333334,1.0,0.2694514654484855,0
53,ood_composition,180,0.4444444444444444,1.0,0.259916801834542,180
53,ood_depth,180,0.5444444444444444,1.0,0.1990393202416786,0
67,train,810,0.4604938271604938,1.0,0.26973790711231527,0
67,val,270,0.5074074074074074,1.0,0.2662593885889081,0
67,test,360,0.4444444444444444,1.0,0.2655131959509859,0
67,ood_composition,180,0.45,1.0,0.2559087791637214,180
67,ood_depth,180,0.5055555555555555,1.0,0.19907586723026244,0
79,train,810,0.49135802469135803,1.0,0.266671438012128,0
79,val,270,0.4925925925925926,1.0,0.2655870393579427,0
79,test,360,0.4666666666666667,1.0,0.27559472054988626,0
79,ood_composition,180,0.4777777777777778,1.0,0.25076638737078205,180
79,ood_depth,180,0.48333333333333334,1.0,0.20292471314570595,0
83,train,810,0.4506172839506173,1.0,0.2730103535068716,0
83,val,270,0.48518518518518516,1.0,0.26010530661500547,0
83,test,360,0.5083333333333333,1.0,0.26842915556267766,0
83,ood_composition,180,0.3888888888888889,1.0,0.24587481054282334,180
83,ood_depth,180,0.5222222222222223,1.0,0.18862540597116662,0
97,train,810,0.4765432098765432,1.0,0.27477527866401974,0
97,val,270,0.4888888888888889,1.0,0.26398259147230535,0
97,test,360,0.49444444444444446,1.0,0.27246452157043594,0
97,ood_composition,180,0.4222222222222222,1.0,0.22744531079399144,180
97,ood_depth,180,0.4888888888888889,1.0,0.20632364280503,0
109,train,810,0.5061728395061729,1.0,0.26323823770347016,0
109,val,270,0.40370370370370373,1.0,0.2671595781985767,0
109,test,360,0.44722222222222224,1.0,0.280980170930055,0
109,ood_composition,180,0.4444444444444444,1.0,0.23900272972110376,180
109,ood_depth,180,0.4666666666666667,1.0,0.19975406770357634,0
