metric,value
train_accuracy,0.6753086419753086
train_balanced_accuracy,0.6746207939692976
train_macro_f1,0.6745541790983212
train_macro_precision,0.6755813668252957
train_macro_recall,0.6746207939692976
train_brier,0.4311155919119841
train_ece_10,0.04147683281343198
train_nll,0.6212829593564893
train_roc_auc,0.717865833948317
val_accuracy,0.6370370370370371
val_balanced_accuracy,0.6373082632360219
val_macro_f1,0.6368577075098814
val_macro_precision,0.6370370370370371
val_macro_recall,0.6373082632360219
val_brier,0.4518088980356002
val_ece_10,0.04008224357066645
val_nll,0.6420813334262243
val_roc_auc,0.6712848424872175
test_accuracy,0.6472222222222223
test_balanced_accuracy,0.6471874903043653
test_macro_f1,0.6464337914021236
test_macro_precision,0.6464920948616601
test_macro_recall,0.6471874903043653
test_brier,0.44848932352871757
test_ece_10,0.031089135361777195
test_nll,0.6395454236603981
test_roc_auc,0.6830380689398405
ood_accuracy,0.6416666666666667
ood_balanced_accuracy,0.631875
ood_macro_f1,0.6324524538784814
ood_macro_precision,0.6359930392188458
ood_macro_recall,0.631875
ood_brier,0.46910347740725616
ood_ece_10,0.05906601892643501
ood_nll,0.66530782139754
ood_roc_auc,0.6656562499999998
ood_composition_accuracy,0.5833333333333334
ood_composition_balanced_accuracy,0.5744222483352919
ood_composition_macro_f1,0.5705970291675944
ood_composition_macro_precision,0.57125
ood_composition_macro_recall,0.5744222483352919
ood_composition_brier,0.5404383132115546
ood_composition_ece_10,0.13810731048714092
ood_composition_nll,0.749983828201983
ood_composition_roc_auc,0.556861209035122
ood_depth_accuracy,0.7
ood_depth_balanced_accuracy,0.7016915668601063
ood_depth_macro_f1,0.6936073635102762
ood_depth_macro_precision,0.7216117216117216
ood_depth_macro_recall,0.7016915668601063
ood_depth_brier,0.3977686416029577
ood_depth_ece_10,0.08062712224052247
ood_depth_nll,0.580631814593097
ood_depth_roc_auc,0.8008396098283739
model_parameter_count,100.0
elapsed_seconds,0.5099431669950718
