metric,value
train_accuracy,0.9962962962962963
train_balanced_accuracy,0.9962932253816514
train_macro_f1,0.9962962454903359
train_macro_precision,0.9963023027539156
train_macro_recall,0.9962932253816514
train_brier,0.007301750668823975
train_ece_10,0.009681889695863158
train_nll,0.017296945574922968
train_roc_auc,0.9999207433058577
val_accuracy,0.7814814814814814
val_balanced_accuracy,0.7822793148880105
val_macro_f1,0.7814065180102916
val_macro_precision,0.7831341886459997
val_macro_recall,0.7822793148880105
val_brier,0.3907912065985394
val_ece_10,0.17315116152691007
val_nll,1.3980420848522719
val_roc_auc,0.8126646903820818
test_accuracy,0.775
test_balanced_accuracy,0.7742862439747868
test_macro_f1,0.7744971425478111
test_macro_precision,0.7750085194708634
test_macro_recall,0.7742862439747868
test_brier,0.40451992316461816
test_ece_10,0.1900180186938462
test_nll,1.3123019504495066
test_roc_auc,0.8423557038684958
ood_accuracy,0.7166666666666667
ood_balanced_accuracy,0.7170638350413632
ood_macro_f1,0.7164478764478764
ood_macro_precision,0.7180059523809523
ood_macro_recall,0.7170638350413632
ood_brier,0.4811783262420764
ood_ece_10,0.2263896018482794
ood_nll,1.6530311641711892
ood_roc_auc,0.7905914310408693
ood_composition_accuracy,0.65
ood_composition_balanced_accuracy,0.65875
ood_composition_macro_f1,0.6499891971974443
ood_composition_macro_precision,0.6591678155157288
ood_composition_macro_recall,0.65875
ood_composition_brier,0.6101540705602586
ood_composition_ece_10,0.2759146387738892
ood_composition_nll,1.9733574932811768
ood_composition_roc_auc,0.6739999999999999
ood_depth_accuracy,0.7833333333333333
ood_depth_balanced_accuracy,0.7850920856147336
ood_depth_macro_f1,0.7827903091060986
ood_depth_macro_precision,0.7828744289418447
ood_depth_macro_recall,0.7850920856147336
ood_depth_brier,0.3522025819238941
ood_depth_ece_10,0.17686456492266955
ood_depth_nll,1.3327048350612012
ood_depth_roc_auc,0.8940393230462917
model_parameter_count,144898.0
model_depth,3.0
elapsed_seconds,1.8304236249969108
