metric,value
train_accuracy,1.0
train_balanced_accuracy,1.0
train_macro_f1,1.0
train_macro_precision,1.0
train_macro_recall,1.0
train_brier,0.04185986189360012
train_ece_10,0.1264172842205859
train_nll,0.1385500572562234
train_roc_auc,1.0
val_accuracy,0.7592592592592593
val_balanced_accuracy,0.7613636363636364
val_macro_f1,0.7577940628493355
val_macro_precision,0.7697603263641
val_macro_recall,0.7613636363636364
val_brier,0.34656328785900714
val_ece_10,0.051666667114046404
val_nll,0.5258999642734319
val_roc_auc,0.8217775581906017
test_accuracy,0.7861111111111111
test_balanced_accuracy,0.7874490174267705
test_macro_f1,0.7860698437198533
test_macro_precision,0.7882059543356361
test_macro_recall,0.7874490174267705
test_brier,0.3158518661633993
test_ece_10,0.07752222195441522
test_nll,0.4879350857649004
test_roc_auc,0.8598597206772959
ood_accuracy,0.7194444444444444
ood_balanced_accuracy,0.7199962958389925
ood_macro_f1,0.7189565217391305
ood_macro_precision,0.721948864874965
ood_macro_recall,0.7199962958389925
ood_brier,0.41643259916425546
ood_ece_10,0.09769444418630259
ood_nll,0.6069333616788768
ood_roc_auc,0.7384707988640572
ood_composition_accuracy,0.6333333333333333
ood_composition_balanced_accuracy,0.64125
ood_composition_macro_f1,0.6333333333333333
ood_composition_macro_precision,0.64125
ood_composition_macro_recall,0.64125
ood_composition_brier,0.5535312427445374
ood_composition_ece_10,0.2371444441123141
ood_composition_nll,0.7712831381151166
ood_composition_roc_auc,0.55275
ood_depth_accuracy,0.8055555555555556
ood_depth_balanced_accuracy,0.8045047287207566
ood_depth_macro_f1,0.8041958041958042
ood_depth_macro_precision,0.8039373990808595
ood_depth_macro_recall,0.8045047287207566
ood_depth_brier,0.2793339555839734
ood_depth_ece_10,0.09575555659205554
ood_depth_nll,0.4425835852426369
ood_depth_roc_auc,0.9011324041811847
model_parameter_count,0
model_sklearn_baseline,True
model_direct_label_evaluation,True
model_input_dim,49
elapsed_seconds,1.3518975840124767
