metric,value
train_accuracy,1.0
train_balanced_accuracy,1.0
train_macro_f1,1.0
train_macro_precision,1.0
train_macro_recall,1.0
train_brier,2.0000000100495182e-16
train_ece_10,1.0000000161269895e-08
train_nll,9.999999878202987e-09
train_roc_auc,1.0
val_accuracy,0.8222222222222222
val_balanced_accuracy,0.8214148509961035
val_macro_f1,0.8214285714285714
val_macro_precision,0.825922421948912
val_macro_recall,0.8214148509961035
val_brier,0.26544974728817294
val_ece_10,0.07790370421025353
val_nll,0.4179376807871731
val_roc_auc,0.9086219197629108
test_accuracy,0.8083333333333333
test_balanced_accuracy,0.8058035714285714
test_macro_f1,0.8067091533020521
test_macro_precision,0.8086454519853563
test_macro_recall,0.8058035714285714
test_brier,0.2722146217647992
test_ece_10,0.05794444496252886
test_nll,0.4296101920302413
test_roc_auc,0.8922681051587301
ood_accuracy,0.7305555555555555
ood_balanced_accuracy,0.7298228802819078
ood_macro_f1,0.7299533682362676
ood_macro_precision,0.7301857585139319
ood_macro_recall,0.7298228802819078
ood_brier,0.3877636226267851
ood_ece_10,0.08701666660420002
ood_nll,0.568937587010633
ood_roc_auc,0.7744891966245246
ood_composition_accuracy,0.5833333333333334
ood_composition_balanced_accuracy,0.580776843146957
ood_composition_macro_f1,0.5804195804195804
ood_composition_macro_precision,0.5818398295525755
ood_composition_macro_recall,0.580776843146957
ood_composition_brier,0.5492700004834938
ood_composition_ece_10,0.16985555611045833
ood_composition_nll,0.7617924264374527
ood_composition_roc_auc,0.5513359722909451
ood_depth_accuracy,0.8777777777777778
ood_depth_balanced_accuracy,0.878383388950686
ood_depth_macro_f1,0.8777626867514507
ood_depth_macro_precision,0.8780096308186196
ood_depth_macro_recall,0.878383388950686
ood_depth_brier,0.2262572447700763
ood_depth_ece_10,0.12346666696716145
ood_depth_nll,0.37608274758381327
ood_depth_roc_auc,0.9335063650970213
model_parameter_count,0
model_sklearn_baseline,True
model_direct_label_evaluation,True
model_input_dim,49
elapsed_seconds,1.3073745830042753
