metric,value
train_accuracy,0.5234567901234568
train_balanced_accuracy,0.5
train_macro_f1,0.34359805510534847
train_macro_precision,0.2617283950617284
train_macro_recall,0.5
train_brier,0.4988995579942083
train_ece_10,9.419005020383509e-09
train_nll,0.6920463345408366
train_roc_auc,0.5
val_accuracy,0.5111111111111111
val_balanced_accuracy,0.5
val_macro_f1,0.3382352941176471
val_macro_precision,0.25555555555555554
val_macro_recall,0.5
val_brier,0.5000579175351689
val_ece_10,0.012345669593340602
val_nll,0.6932055450100713
val_roc_auc,0.5
test_accuracy,0.5055555555555555
test_balanced_accuracy,0.5
test_macro_f1,0.33579335793357934
test_macro_precision,0.25277777777777777
test_macro_recall,0.5
test_brier,0.5005791793286012
test_ece_10,0.01790122514889625
test_nll,0.6937271897212269
test_roc_auc,0.5
ood_accuracy,0.5444444444444444
ood_balanced_accuracy,0.5
ood_macro_f1,0.35251798561151076
ood_macro_precision,0.2722222222222222
ood_macro_recall,0.5
ood_brier,0.4969303467745754
ood_ece_10,0.020987663739992612
ood_nll,0.6900756767431379
ood_roc_auc,0.5
ood_composition_accuracy,0.5777777777777777
ood_composition_balanced_accuracy,0.5
ood_composition_macro_f1,0.36619718309859156
ood_composition_macro_precision,0.28888888888888886
ood_composition_macro_recall,0.5
ood_composition_brier,0.49380277601398176
ood_composition_ece_10,0.05432099707332605
ood_composition_nll,0.6869458084762045
ood_composition_roc_auc,0.5
ood_depth_accuracy,0.5111111111111111
ood_depth_balanced_accuracy,0.5
ood_depth_macro_f1,0.3382352941176471
ood_depth_macro_precision,0.25555555555555554
ood_depth_macro_recall,0.5
ood_depth_brier,0.5000579175351689
ood_depth_ece_10,0.012345669593340602
ood_depth_nll,0.6932055450100714
ood_depth_roc_auc,0.5
model_parameter_count,0.0
elapsed_seconds,0.3256595830025617
