metric,value
train_accuracy,1.0
train_balanced_accuracy,1.0
train_macro_f1,1.0
train_macro_precision,1.0
train_macro_recall,1.0
train_brier,0.04439812696016631
train_ece_10,0.14557785571647472
train_nll,0.15803673828333303
train_roc_auc,1.0
val_accuracy,0.7777777777777778
val_balanced_accuracy,0.7760448130045582
val_macro_f1,0.7762925320371188
val_macro_precision,0.7807943690296631
val_macro_recall,0.7760448130045582
val_brier,0.3312332059625012
val_ece_10,0.040682733465844015
val_nll,0.5071932653881887
val_roc_auc,0.8301114833324181
test_accuracy,0.7444444444444445
test_balanced_accuracy,0.7452070019449848
test_macro_f1,0.7441601779755284
test_macro_precision,0.7468531468531469
test_macro_recall,0.7452070019449848
test_brier,0.3612354960187916
test_ece_10,0.03339244672987605
test_nll,0.5430184048845826
test_roc_auc,0.8040505078571207
ood_accuracy,0.6583333333333333
ood_balanced_accuracy,0.6583499253359881
ood_macro_f1,0.6571667479618145
ood_macro_precision,0.6572200772200771
ood_macro_recall,0.6583499253359881
ood_brier,0.45550327610186814
ood_ece_10,0.08437396667639897
ood_nll,0.6571511392435178
ood_roc_auc,0.6971129915380787
ood_composition_accuracy,0.4777777777777778
ood_composition_balanced_accuracy,0.4688311688311688
ood_composition_macro_f1,0.46664985499936956
ood_composition_macro_precision,0.47023809523809523
ood_composition_macro_recall,0.4688311688311688
ood_composition_brier,0.6334388187563559
ood_composition_ece_10,0.22075167550487193
ood_composition_nll,0.8699051827070258
ood_composition_roc_auc,0.4461038961038961
ood_depth_accuracy,0.8388888888888889
ood_depth_balanced_accuracy,0.8393122216724394
ood_depth_macro_f1,0.8387644787644788
ood_depth_macro_precision,0.8386837881219904
ood_depth_macro_recall,0.8393122216724394
ood_depth_brier,0.27756773344738045
ood_depth_ece_10,0.0939740595778081
ood_depth_nll,0.4443970957800098
ood_depth_roc_auc,0.8869371598218704
model_parameter_count,0
model_sklearn_baseline,True
model_direct_label_evaluation,True
model_input_dim,49
elapsed_seconds,0.42682454200985376
