metric,value
train_accuracy,0.9395061728395062
train_balanced_accuracy,0.939314693518428
train_macro_f1,0.939365607512615
train_macro_precision,0.9394194041252865
train_macro_recall,0.939314693518428
train_brier,0.13584869848113207
train_ece_10,0.1342623547086267
train_nll,0.2577517796160504
train_roc_auc,0.9852747091602306
val_accuracy,0.7814814814814814
val_balanced_accuracy,0.7816205533596838
val_macro_f1,0.7814545005556242
val_macro_precision,0.7814814814814814
val_macro_recall,0.7816205533596838
val_brier,0.3194378307062095
val_ece_10,0.055100246091657284
val_nll,0.49734025053156145
val_roc_auc,0.8435441370223978
test_accuracy,0.7444444444444445
test_balanced_accuracy,0.7442894184467218
test_macro_f1,0.7443181818181819
test_macro_precision,0.7445309603262884
test_macro_recall,0.7442894184467218
test_brier,0.3607315016819317
test_ece_10,0.04254743217641361
test_nll,0.5422442468862809
test_roc_auc,0.8053463390542043
ood_accuracy,0.6805555555555556
ood_balanced_accuracy,0.6782603285216526
ood_macro_f1,0.6781691399964241
ood_macro_precision,0.6780885780885781
ood_macro_recall,0.6782603285216526
ood_brier,0.43042186339448485
ood_ece_10,0.0874671653952731
ood_nll,0.654599843983845
ood_roc_auc,0.7424091587854655
ood_composition_accuracy,0.55
ood_composition_balanced_accuracy,0.5468117408906883
ood_composition_macro_f1,0.5449296170292456
ood_composition_macro_precision,0.5458204334365325
ood_composition_macro_recall,0.5468117408906883
ood_composition_brier,0.6016795162339488
ood_composition_ece_10,0.18846660707551838
ood_composition_nll,0.8980440236471238
ood_composition_roc_auc,0.5584514170040485
ood_depth_accuracy,0.8111111111111111
ood_depth_balanced_accuracy,0.8100296442687747
ood_depth_macro_f1,0.8102678571428572
ood_depth_macro_precision,0.81375
ood_depth_macro_recall,0.8100296442687747
ood_depth_brier,0.2591642105550209
ood_depth_ece_10,0.0266576558483298
ood_depth_nll,0.41115566432056594
ood_depth_roc_auc,0.9003211462450592
model_parameter_count,0
model_sklearn_baseline,True
model_direct_label_evaluation,True
model_input_dim,49
elapsed_seconds,0.5878995829989435
