metric,value
train_accuracy,0.991358024691358
train_balanced_accuracy,0.9913109756097561
train_macro_f1,0.9913557980946166
train_macro_precision,0.9914278395472094
train_macro_recall,0.9913109756097561
train_brier,0.10172905965298933
train_ece_10,0.20773634538801866
train_nll,0.24981333820760124
train_roc_auc,0.9997317073170732
val_accuracy,0.725925925925926
val_balanced_accuracy,0.7124052652572797
val_macro_f1,0.7136058712229802
val_macro_precision,0.7151515151515151
val_macro_recall,0.7124052652572797
val_brier,0.3840258194275044
val_ece_10,0.04287246435536219
val_nll,0.5778439564994713
val_roc_auc,0.7765114821357343
test_accuracy,0.7833333333333333
test_balanced_accuracy,0.7814850650769375
test_macro_f1,0.7811447811447811
test_macro_precision,0.7808539129893183
test_macro_recall,0.7814850650769375
test_brier,0.34033760928911616
test_ece_10,0.10126734474606665
test_nll,0.5294394820029886
test_roc_auc,0.8405068822372733
ood_accuracy,0.6527777777777778
ood_balanced_accuracy,0.6482702837232455
ood_macro_f1,0.6486543461457381
ood_macro_precision,0.6495403344733457
ood_macro_recall,0.6482702837232455
ood_brier,0.4450527534378614
ood_ece_10,0.03797772509187773
ood_nll,0.6420256538864769
ood_roc_auc,0.6988395968143355
ood_composition_accuracy,0.55
ood_composition_balanced_accuracy,0.54125
ood_composition_macro_f1,0.5411487018095987
ood_composition_macro_precision,0.5419047619047619
ood_composition_macro_recall,0.54125
ood_composition_brier,0.5324117801368472
ood_composition_ece_10,0.09131826433175644
ood_composition_nll,0.7437543217435528
ood_composition_roc_auc,0.5561875000000001
ood_depth_accuracy,0.7555555555555555
ood_depth_balanced_accuracy,0.7537202380952381
ood_depth_macro_f1,0.7540678176624023
ood_depth_macro_precision,0.7546042807366848
ood_depth_macro_recall,0.7537202380952381
ood_depth_brier,0.3576937267388755
ood_depth_ece_10,0.0880939568238817
ood_depth_nll,0.540296986029401
ood_depth_roc_auc,0.8288690476190476
model_parameter_count,0
model_sklearn_baseline,True
model_direct_label_evaluation,True
model_input_dim,49
elapsed_seconds,0.709092832999886
