split,local_index,y_true
ood,0,1
ood,1,1
ood,2,0
ood,3,1
ood,4,1
ood,5,0
ood,8,0
ood,9,0
ood,10,0
ood,11,0
ood,12,0
ood,15,0
ood,17,0
ood,18,0
ood,19,1
ood,20,1
ood,21,0
ood,23,1
ood,24,0
ood,25,0
ood,26,0
ood,27,0
ood,28,1
ood,30,0
ood,31,0
ood,33,1
ood,35,1
ood,36,0
ood,38,0
ood,40,0
ood,41,1
ood,42,0
ood,43,1
ood,44,0
ood,45,0
ood,47,1
ood,49,0
ood,51,1
ood,55,0
ood,57,0
ood,59,1
ood,61,0
ood,62,0
ood,63,1
ood,64,1
ood,67,0
ood,69,0
ood,70,1
ood,72,0
ood,73,0
ood,74,1
ood,76,1
ood,78,1
ood,79,0
ood,80,0
ood,81,0
ood,84,0
ood,85,1
ood,87,1
ood,88,0
ood,92,1
ood,93,1
ood,94,0
ood,95,1
ood,98,0
ood,100,1
ood,101,1
ood,102,0
ood,103,0
ood,106,1
ood,108,0
ood,109,1
ood,111,0
ood,112,1
ood,113,1
ood,115,1
ood,118,0
ood,119,1
ood,120,0
ood,122,1
ood,123,0
ood,127,0
ood,129,1
ood,130,0
ood,131,0
ood,132,1
ood,133,1
ood,135,1
ood,139,0
ood,141,0
ood,142,1
ood,143,0
ood,146,1
ood,147,0
ood,150,1
ood,151,0
ood,152,0
ood,153,1
ood,154,1
ood,155,1
ood,157,1
ood,158,1
ood,160,1
ood,161,0
ood,162,1
ood,165,0
ood,166,0
ood,167,1
ood,172,0
ood,173,1
ood,174,1
ood,175,1
ood,177,1
ood,178,0
ood,181,0
ood,182,0
ood,183,1
ood,185,1
ood,186,1
ood,187,0
ood,188,0
ood,189,0
ood,190,1
ood,191,1
ood,192,0
ood,194,1
ood,195,0
ood,196,1
ood,197,1
ood,199,1
ood,200,1
ood,202,1
ood,203,0
ood,204,0
ood,205,0
ood,206,0
ood,207,1
ood,208,0
ood,209,1
ood,210,1
ood,211,1
ood,212,1
ood,215,0
ood,216,0
ood,217,0
ood,218,1
ood,219,1
ood,220,0
ood,221,0
ood,222,1
ood,225,0
ood,226,0
ood,227,1
ood,228,0
ood,230,1
ood,233,0
ood,234,1
ood,236,0
ood,237,0
ood,238,0
ood,240,0
ood,241,0
ood,242,1
ood,243,0
ood,244,0
ood,245,1
ood,246,0
ood,247,0
ood,248,1
ood,250,0
ood,251,0
ood,252,1
ood,255,1
ood,256,0
ood,257,1
ood,258,0
ood,260,0
ood,262,1
ood,263,0
ood,264,0
ood,266,1
ood,268,0
ood,269,1
ood,270,1
ood,272,1
ood,274,0
ood,275,0
ood,276,1
ood,277,1
ood,278,0
ood,280,0
ood,281,1
ood,282,0
ood,284,1
ood,286,0
ood,287,0
ood,288,0
ood,289,1
ood,290,1
ood,291,1
ood,292,0
ood,293,1
ood,294,0
ood,295,1
ood,296,0
ood,297,1
ood,298,1
ood,300,1
ood,301,1
ood,302,0
ood,303,1
ood,304,0
ood,305,0
ood,306,0
ood,307,0
ood,308,1
ood,309,1
ood,310,0
ood,311,1
ood,313,1
ood,314,1
ood,315,1
ood,316,0
ood,317,0
ood,319,1
ood,320,0
ood,321,0
ood,322,0
ood,323,0
ood,325,1
ood,326,0
ood,327,0
ood,328,0
ood,329,0
ood,330,0
ood,332,1
ood,334,0
ood,335,0
ood,336,1
ood,337,0
ood,338,0
ood,340,0
ood,341,0
ood,343,0
ood,344,1
ood,345,0
ood,347,1
ood,348,1
ood,349,0
ood,350,1
ood,351,0
ood,352,1
ood,353,0
ood,355,0
ood,357,0
ood,358,1
