metric,value
train_accuracy,0.9629629629629629
train_balanced_accuracy,0.9630799629214031
train_macro_f1,0.9629593497917797
train_macro_precision,0.962944447154075
train_macro_recall,0.9630799629214031
train_brier,0.10151184748638327
train_ece_10,0.13253415646363975
train_nll,0.21132291544336007
train_roc_auc,0.9949992681855881
val_accuracy,0.8074074074074075
val_balanced_accuracy,0.8045634920634921
val_macro_f1,0.8056047851129818
val_macro_precision,0.8080954504906335
val_macro_recall,0.8045634920634921
val_brier,0.30152356377813777
val_ece_10,0.04963323232713178
val_nll,0.46199192984265414
val_roc_auc,0.8538359788359788
test_accuracy,0.75
test_balanced_accuracy,0.7505791505791506
test_macro_f1,0.75
test_macro_precision,0.7505791505791506
test_macro_recall,0.7505791505791506
test_brier,0.3305128204686658
test_ece_10,0.03192592296325001
test_nll,0.49836920784288996
test_roc_auc,0.8363861003861004
test_quantum_kernel_alignment,0.07975559919772826
test_quantum_kernel_effective_rank,140.3462410361763
test_quantum_kernel_trace,256.0000305175781
test_quantum_kernel_mean_offdiag,0.059815067797899246
test_quantum_kernel_sample_n,256.0
test_quantum_kernel_sample_class0_n,132.0
test_quantum_kernel_sample_class1_n,124.0
test_quantum_kernel_sampling_strategy,2.0
ood_accuracy,0.6777777777777778
ood_balanced_accuracy,0.6737709576584257
ood_macro_f1,0.6724294813466788
ood_macro_precision,0.6717750241892694
ood_macro_recall,0.6737709576584257
ood_brier,0.4450999293288575
ood_ece_10,0.10304289698807033
ood_nll,0.6656377366188827
ood_roc_auc,0.7280477408354646
ood_quantum_kernel_alignment,0.08347341663539223
ood_quantum_kernel_effective_rank,140.13548561996058
ood_quantum_kernel_trace,256.0000305175781
ood_quantum_kernel_mean_offdiag,0.06082266941666603
ood_quantum_kernel_sample_n,256.0
ood_quantum_kernel_sample_class0_n,147.0
ood_quantum_kernel_sample_class1_n,109.0
ood_quantum_kernel_sampling_strategy,2.0
ood_composition_accuracy,0.5722222222222222
ood_composition_balanced_accuracy,0.5613207547169812
ood_composition_macro_f1,0.560822586266992
ood_composition_macro_precision,0.5606480897743034
ood_composition_macro_recall,0.5613207547169812
ood_composition_brier,0.5754260804022558
ood_composition_ece_10,0.20661588937161424
ood_composition_nll,0.8459154866629163
ood_composition_roc_auc,0.6088730239673636
ood_composition_quantum_kernel_alignment,0.08465298056231788
ood_composition_quantum_kernel_effective_rank,101.37316151119445
ood_composition_quantum_kernel_trace,180.00003051757812
ood_composition_quantum_kernel_mean_offdiag,0.06525062024593353
ood_composition_quantum_kernel_sample_n,180.0
ood_composition_quantum_kernel_sample_class0_n,106.0
ood_composition_quantum_kernel_sample_class1_n,74.0
ood_composition_quantum_kernel_sampling_strategy,2.0
ood_depth_accuracy,0.7833333333333333
ood_depth_balanced_accuracy,0.7834941722020303
ood_depth_macro_f1,0.7813833265859051
ood_depth_macro_precision,0.7805059523809523
ood_depth_macro_recall,0.7834941722020303
ood_depth_brier,0.3147737782554592
ood_depth_ece_10,0.07533213025446213
ood_depth_nll,0.4853599865748491
ood_depth_roc_auc,0.8428374483017922
ood_depth_quantum_kernel_alignment,0.1195090563685169
ood_depth_quantum_kernel_effective_rank,111.79712181752771
ood_depth_quantum_kernel_trace,180.00001525878906
ood_depth_quantum_kernel_mean_offdiag,0.061659760773181915
ood_depth_quantum_kernel_sample_n,180.0
ood_depth_quantum_kernel_sample_class0_n,101.0
ood_depth_quantum_kernel_sample_class1_n,79.0
ood_depth_quantum_kernel_sampling_strategy,2.0
model_n_qubits,6
model_n_layers,2
model_state_dim,64
model_data_reuploading,True
model_parameter_count,686
model_single_qubit_rotation_count_proxy,24
model_two_qubit_gate_count_proxy,8
model_depth_proxy,6
model_bare_statevector_memory_gb_per_sample_complex64,4.76837158203125e-07
model_primitive_role_encoding_active,True
elapsed_seconds,7.31250329100294
