metric,value
train_accuracy,0.8765432098765432
train_balanced_accuracy,0.8765063179977558
train_macro_f1,0.8765063179977558
train_macro_precision,0.8765063179977558
train_macro_recall,0.8765063179977558
train_brier,0.23981228153514392
train_ece_10,0.15654997775903565
train_nll,0.39813991119801573
train_roc_auc,0.94256476557545
val_accuracy,0.737037037037037
val_balanced_accuracy,0.7336309523809523
val_macro_f1,0.7343808454919566
val_macro_precision,0.7368024132730016
val_macro_recall,0.7336309523809523
val_brier,0.3899421275092656
val_ece_10,0.05575696659379259
val_nll,0.5727771572957236
val_roc_auc,0.7589285714285714
test_accuracy,0.7083333333333334
test_balanced_accuracy,0.7094208494208494
test_macro_f1,0.7082230164182446
test_macro_precision,0.7101934523809523
test_macro_recall,0.7094208494208494
test_brier,0.4025085953557588
test_ece_10,0.05585452632124064
test_nll,0.5943152174462695
test_roc_auc,0.7581467181467182
test_quantum_kernel_alignment,0.05662909763478032
test_quantum_kernel_effective_rank,111.6677559411953
test_quantum_kernel_trace,256.0
test_quantum_kernel_mean_offdiag,0.0838075503706932
test_quantum_kernel_sample_n,256.0
test_quantum_kernel_sample_class0_n,132.0
test_quantum_kernel_sample_class1_n,124.0
test_quantum_kernel_sampling_strategy,2.0
ood_accuracy,0.6638888888888889
ood_balanced_accuracy,0.65743108837738
ood_macro_f1,0.6570051732690809
ood_macro_precision,0.6566742081447964
ood_macro_recall,0.65743108837738
ood_brier,0.4451607922009521
ood_ece_10,0.04305952293188237
ood_nll,0.6451454173630424
ood_roc_auc,0.7066401439802974
ood_quantum_kernel_alignment,0.06624364882753875
ood_quantum_kernel_effective_rank,121.98343789182546
ood_quantum_kernel_trace,256.00006103515625
ood_quantum_kernel_mean_offdiag,0.07486835867166519
ood_quantum_kernel_sample_n,256.0
ood_quantum_kernel_sample_class0_n,147.0
ood_quantum_kernel_sample_class1_n,109.0
ood_quantum_kernel_sampling_strategy,2.0
ood_composition_accuracy,0.5222222222222223
ood_composition_balanced_accuracy,0.5127485976542581
ood_composition_macro_f1,0.5120413567015508
ood_composition_macro_precision,0.5125
ood_composition_macro_recall,0.5127485976542581
ood_composition_brier,0.5881062850009927
ood_composition_ece_10,0.165304772449265
ood_composition_nll,0.8147985417885284
ood_composition_roc_auc,0.5223100458949516
ood_composition_quantum_kernel_alignment,0.07587431856697098
ood_composition_quantum_kernel_effective_rank,84.15812218710812
ood_composition_quantum_kernel_trace,180.00003051757812
ood_composition_quantum_kernel_mean_offdiag,0.08774948865175247
ood_composition_quantum_kernel_sample_n,180.0
ood_composition_quantum_kernel_sample_class0_n,106.0
ood_composition_quantum_kernel_sample_class1_n,74.0
ood_composition_quantum_kernel_sampling_strategy,2.0
ood_depth_accuracy,0.8055555555555556
ood_depth_balanced_accuracy,0.8005389146509587
ood_depth_macro_f1,0.8017309205350118
ood_depth_macro_precision,0.8033906882591093
ood_depth_macro_recall,0.8005389146509587
ood_depth_brier,0.3022152994009116
ood_depth_ece_10,0.10558598373052754
ood_depth_nll,0.4754922929375565
ood_depth_roc_auc,0.8744203534277478
ood_depth_quantum_kernel_alignment,0.11287399138149076
ood_depth_quantum_kernel_effective_rank,100.47386389747261
ood_depth_quantum_kernel_trace,180.00003051757812
ood_depth_quantum_kernel_mean_offdiag,0.07350333034992218
ood_depth_quantum_kernel_sample_n,180.0
ood_depth_quantum_kernel_sample_class0_n,101.0
ood_depth_quantum_kernel_sample_class1_n,79.0
ood_depth_quantum_kernel_sampling_strategy,2.0
model_n_qubits,6
model_n_layers,2
model_state_dim,64
model_data_reuploading,True
model_parameter_count,686
model_single_qubit_rotation_count_proxy,24
model_two_qubit_gate_count_proxy,12
model_depth_proxy,6
model_bare_statevector_memory_gb_per_sample_complex64,4.76837158203125e-07
model_primitive_role_encoding_active,True
elapsed_seconds,4.644616917008534
