split,local_index,y_true
ood,0,1
ood,1,1
ood,2,0
ood,3,1
ood,4,0
ood,5,0
ood,6,0
ood,7,0
ood,8,1
ood,9,0
ood,10,1
ood,14,0
ood,15,1
ood,19,1
ood,20,0
ood,21,1
ood,22,0
ood,23,0
ood,24,1
ood,25,0
ood,27,1
ood,28,1
ood,29,0
ood,30,1
ood,31,1
ood,32,0
ood,33,1
ood,34,0
ood,35,1
ood,36,0
ood,38,0
ood,39,0
ood,42,1
ood,43,0
ood,47,1
ood,48,0
ood,49,0
ood,50,1
ood,51,0
ood,52,0
ood,53,0
ood,54,1
ood,55,1
ood,56,0
ood,57,0
ood,60,1
ood,61,0
ood,62,0
ood,63,1
ood,64,0
ood,66,0
ood,67,0
ood,69,0
ood,71,1
ood,73,1
ood,74,0
ood,75,0
ood,77,0
ood,78,0
ood,80,0
ood,81,0
ood,83,1
ood,85,1
ood,86,1
ood,89,0
ood,90,1
ood,91,0
ood,92,0
ood,93,0
ood,95,0
ood,96,1
ood,97,0
ood,99,0
ood,100,1
ood,101,1
ood,102,0
ood,103,1
ood,104,0
ood,105,0
ood,106,1
ood,108,1
ood,110,0
ood,111,0
ood,112,0
ood,113,1
ood,114,1
ood,115,0
ood,116,1
ood,117,0
ood,118,1
ood,119,0
ood,120,1
ood,121,0
ood,122,0
ood,124,1
ood,125,0
ood,128,0
ood,129,0
ood,132,0
ood,134,1
ood,135,1
ood,136,0
ood,138,0
ood,139,0
ood,140,0
ood,142,0
ood,143,1
ood,144,0
ood,145,1
ood,146,0
ood,147,0
ood,148,1
ood,149,1
ood,150,0
ood,152,1
ood,153,0
ood,154,0
ood,155,0
ood,158,1
ood,159,1
ood,160,0
ood,161,0
ood,162,0
ood,163,1
ood,164,1
ood,166,0
ood,167,0
ood,168,0
ood,169,0
ood,170,0
ood,171,0
ood,172,1
ood,173,0
ood,174,0
ood,175,1
ood,176,0
ood,177,0
ood,178,0
ood,179,1
ood,181,1
ood,182,0
ood,183,0
ood,186,0
ood,187,1
ood,188,1
ood,189,0
ood,190,0
ood,191,1
ood,192,0
ood,193,0
ood,195,1
ood,196,1
ood,198,0
ood,200,1
ood,201,1
ood,202,1
ood,204,1
ood,206,0
ood,207,0
ood,210,1
ood,211,0
ood,212,0
ood,216,1
ood,217,0
ood,220,0
ood,221,1
ood,222,0
ood,224,1
ood,226,0
ood,227,1
ood,230,0
ood,234,1
ood,235,1
ood,236,0
ood,237,1
ood,240,1
ood,241,1
ood,242,1
ood,243,0
ood,244,0
ood,246,0
ood,250,1
ood,251,0
ood,252,1
ood,254,0
ood,255,1
ood,256,1
ood,258,1
ood,259,0
ood,260,1
ood,261,1
ood,262,0
ood,265,1
ood,266,1
ood,269,1
ood,270,1
ood,271,0
ood,272,0
ood,273,0
ood,274,0
ood,275,1
ood,278,1
ood,280,1
ood,281,0
ood,282,0
ood,283,1
ood,284,0
ood,285,1
ood,286,0
ood,288,0
ood,289,0
ood,290,0
ood,291,0
ood,295,0
ood,297,0
ood,298,1
ood,299,0
ood,301,0
ood,303,1
ood,304,1
ood,305,0
ood,307,1
ood,309,0
ood,310,1
ood,313,1
ood,314,0
ood,315,1
ood,317,0
ood,318,0
ood,319,0
ood,320,0
ood,323,1
ood,324,1
ood,326,0
ood,327,1
ood,328,1
ood,329,1
ood,330,0
ood,331,0
ood,332,1
ood,334,0
ood,335,0
ood,336,1
ood,337,1
ood,338,1
ood,339,1
ood,340,0
ood,341,0
ood,344,1
ood,348,0
ood,349,1
ood,353,1
ood,355,1
ood,356,1
ood,357,1
ood,359,0
