split,local_index,y_true
ood,1,0
ood,2,1
ood,3,1
ood,5,1
ood,6,0
ood,9,1
ood,11,1
ood,13,0
ood,15,1
ood,16,0
ood,18,1
ood,19,0
ood,20,1
ood,21,0
ood,22,1
ood,23,1
ood,26,0
ood,27,0
ood,28,0
ood,29,0
ood,30,0
ood,31,1
ood,33,0
ood,34,0
ood,35,0
ood,36,0
ood,37,1
ood,38,0
ood,39,0
ood,40,1
ood,41,1
ood,42,0
ood,45,1
ood,47,0
ood,49,1
ood,50,0
ood,51,0
ood,53,1
ood,55,0
ood,56,0
ood,58,0
ood,63,1
ood,64,1
ood,65,1
ood,66,1
ood,67,1
ood,68,0
ood,69,1
ood,70,1
ood,72,1
ood,73,0
ood,74,0
ood,77,0
ood,78,0
ood,79,1
ood,80,0
ood,81,0
ood,82,0
ood,85,1
ood,87,1
ood,88,0
ood,90,1
ood,91,1
ood,93,1
ood,94,1
ood,95,1
ood,98,1
ood,100,0
ood,101,1
ood,102,0
ood,104,1
ood,106,1
ood,107,0
ood,109,0
ood,110,0
ood,111,1
ood,112,0
ood,113,0
ood,115,0
ood,116,1
ood,117,0
ood,118,1
ood,119,0
ood,122,1
ood,125,0
ood,127,0
ood,128,0
ood,129,0
ood,130,0
ood,131,1
ood,133,0
ood,134,1
ood,135,0
ood,136,1
ood,138,0
ood,139,0
ood,141,0
ood,142,1
ood,143,1
ood,144,0
ood,145,0
ood,146,0
ood,147,1
ood,148,0
ood,149,0
ood,150,0
ood,151,0
ood,152,0
ood,153,1
ood,154,1
ood,155,0
ood,158,1
ood,159,0
ood,163,0
ood,164,0
ood,165,1
ood,166,0
ood,167,1
ood,168,0
ood,169,0
ood,170,1
ood,171,1
ood,173,1
ood,174,0
ood,175,1
ood,176,0
ood,177,0
ood,178,1
ood,179,0
ood,180,0
ood,181,0
ood,182,0
ood,183,1
ood,184,1
ood,185,1
ood,186,1
ood,187,0
ood,188,1
ood,189,0
ood,190,0
ood,193,1
ood,194,1
ood,195,0
ood,198,1
ood,199,0
ood,200,1
ood,201,1
ood,204,1
ood,205,0
ood,206,0
ood,209,1
ood,210,0
ood,212,0
ood,214,0
ood,215,1
ood,216,1
ood,218,1
ood,219,1
ood,220,1
ood,222,1
ood,223,1
ood,225,0
ood,227,1
ood,228,1
ood,230,0
ood,231,0
ood,232,0
ood,233,0
ood,235,1
ood,236,0
ood,237,1
ood,240,1
ood,241,0
ood,242,1
ood,243,0
ood,244,0
ood,246,1
ood,247,1
ood,250,1
ood,251,0
ood,252,1
ood,254,1
ood,258,1
ood,261,0
ood,262,1
ood,263,0
ood,264,0
ood,265,0
ood,266,0
ood,267,0
ood,268,0
ood,270,1
ood,271,0
ood,273,1
ood,277,1
ood,278,1
ood,279,0
ood,282,1
ood,283,0
ood,284,0
ood,286,1
ood,287,1
ood,288,0
ood,289,1
ood,290,0
ood,292,0
ood,293,1
ood,294,1
ood,295,1
ood,296,0
ood,297,0
ood,299,1
ood,300,1
ood,301,1
ood,302,0
ood,303,0
ood,304,1
ood,306,1
ood,307,1
ood,308,1
ood,310,0
ood,311,1
ood,312,0
ood,313,1
ood,314,0
ood,316,1
ood,317,1
ood,318,0
ood,319,1
ood,321,0
ood,322,0
ood,323,1
ood,324,0
ood,325,1
ood,328,1
ood,329,0
ood,331,0
ood,332,1
ood,333,1
ood,335,0
ood,336,1
ood,339,1
ood,340,1
ood,342,0
ood,347,1
ood,348,0
ood,349,0
ood,350,1
ood,351,0
ood,352,1
ood,354,0
ood,355,1
ood,356,1
ood,357,1
ood,358,1
ood,359,0
