split,local_index,y_true
ood_depth,0,0
ood_depth,1,0
ood_depth,2,0
ood_depth,3,1
ood_depth,4,1
ood_depth,5,1
ood_depth,6,1
ood_depth,7,0
ood_depth,8,1
ood_depth,9,0
ood_depth,10,0
ood_depth,11,1
ood_depth,12,1
ood_depth,13,1
ood_depth,14,1
ood_depth,15,0
ood_depth,16,0
ood_depth,17,0
ood_depth,18,1
ood_depth,19,0
ood_depth,20,1
ood_depth,21,1
ood_depth,22,0
ood_depth,23,1
ood_depth,24,1
ood_depth,25,0
ood_depth,26,0
ood_depth,27,1
ood_depth,28,1
ood_depth,29,1
ood_depth,30,0
ood_depth,31,1
ood_depth,32,0
ood_depth,33,0
ood_depth,34,0
ood_depth,35,1
ood_depth,36,1
ood_depth,37,1
ood_depth,38,1
ood_depth,39,1
ood_depth,40,1
ood_depth,41,1
ood_depth,42,1
ood_depth,43,1
ood_depth,44,1
ood_depth,45,0
ood_depth,46,1
ood_depth,47,1
ood_depth,48,1
ood_depth,49,1
ood_depth,50,0
ood_depth,51,0
ood_depth,52,0
ood_depth,53,0
ood_depth,54,0
ood_depth,55,1
ood_depth,56,0
ood_depth,57,1
ood_depth,58,1
ood_depth,59,0
ood_depth,60,1
ood_depth,61,0
ood_depth,62,1
ood_depth,63,0
ood_depth,64,0
ood_depth,65,0
ood_depth,66,1
ood_depth,67,1
ood_depth,68,0
ood_depth,69,0
ood_depth,70,1
ood_depth,71,0
ood_depth,72,1
ood_depth,73,1
ood_depth,74,1
ood_depth,75,0
ood_depth,76,0
ood_depth,77,0
ood_depth,78,1
ood_depth,79,1
ood_depth,80,1
ood_depth,81,0
ood_depth,82,1
ood_depth,83,0
ood_depth,84,0
ood_depth,85,0
ood_depth,86,0
ood_depth,87,0
ood_depth,88,0
ood_depth,89,1
ood_depth,90,1
ood_depth,91,0
ood_depth,92,1
ood_depth,93,1
ood_depth,94,0
ood_depth,95,1
ood_depth,96,0
ood_depth,97,1
ood_depth,98,1
ood_depth,99,0
ood_depth,100,1
ood_depth,101,0
ood_depth,102,1
ood_depth,103,0
ood_depth,104,0
ood_depth,105,1
ood_depth,106,1
ood_depth,107,1
ood_depth,108,0
ood_depth,109,1
ood_depth,110,0
ood_depth,111,0
ood_depth,112,0
ood_depth,113,1
ood_depth,114,1
ood_depth,115,1
ood_depth,116,0
ood_depth,117,0
ood_depth,118,1
ood_depth,119,1
ood_depth,120,1
ood_depth,121,1
ood_depth,122,0
ood_depth,123,0
ood_depth,124,1
ood_depth,125,0
ood_depth,126,1
ood_depth,127,1
ood_depth,128,1
ood_depth,129,1
ood_depth,130,0
ood_depth,131,1
ood_depth,132,0
ood_depth,133,1
ood_depth,134,0
ood_depth,135,0
ood_depth,136,1
ood_depth,137,1
ood_depth,138,0
ood_depth,139,1
ood_depth,140,0
ood_depth,141,0
ood_depth,142,0
ood_depth,143,1
ood_depth,144,0
ood_depth,145,1
ood_depth,146,1
ood_depth,147,0
ood_depth,148,1
ood_depth,149,0
ood_depth,150,1
ood_depth,151,0
ood_depth,152,1
ood_depth,153,1
ood_depth,154,1
ood_depth,155,0
ood_depth,156,1
ood_depth,157,0
ood_depth,158,0
ood_depth,159,1
ood_depth,160,1
ood_depth,161,0
ood_depth,162,0
ood_depth,163,1
ood_depth,164,0
ood_depth,165,0
ood_depth,166,1
ood_depth,167,1
ood_depth,168,0
ood_depth,169,0
ood_depth,170,1
ood_depth,171,0
ood_depth,172,1
ood_depth,173,1
ood_depth,174,0
ood_depth,175,1
ood_depth,176,1
ood_depth,177,1
ood_depth,178,1
ood_depth,179,0
