metric,value
train_accuracy,0.9358024691358025
train_balanced_accuracy,0.9348102158882461
train_macro_f1,0.9353194103194103
train_macro_precision,0.9359334731610705
train_macro_recall,0.9348102158882461
train_brier,0.1502548575918316
train_ece_10,0.14961132373751132
train_nll,0.2840622140745491
train_roc_auc,0.9821473487892712
val_accuracy,0.7518518518518519
val_balanced_accuracy,0.753059656440371
val_macro_f1,0.7506169095245316
val_macro_precision,0.7592780026990553
val_macro_recall,0.753059656440371
val_brier,0.36364501661536275
val_ece_10,0.035469434242299834
val_nll,0.5475640901217779
val_roc_auc,0.8085725262060259
test_accuracy,0.7027777777777777
test_balanced_accuracy,0.6937500000000001
test_macro_f1,0.6951349811240117
test_macro_precision,0.6998001998001998
test_macro_recall,0.6937500000000001
test_brier,0.39310496142499557
test_ece_10,0.04749379688898167
test_nll,0.5796341233640153
test_roc_auc,0.7699374999999999
test_quantum_kernel_alignment,0.07457642148187853
test_quantum_kernel_effective_rank,128.77857050205682
test_quantum_kernel_trace,256.00006103515625
test_quantum_kernel_mean_offdiag,0.06885559856891632
test_quantum_kernel_sample_n,256.0
test_quantum_kernel_sample_class0_n,142.0
test_quantum_kernel_sample_class1_n,114.0
test_quantum_kernel_sampling_strategy,2.0
ood_accuracy,0.6638888888888889
ood_balanced_accuracy,0.6613681345868382
ood_macro_f1,0.6613779646918897
ood_macro_precision,0.6637225063537384
ood_macro_recall,0.6613681345868382
ood_brier,0.44614185986442706
ood_ece_10,0.0630282530580865
ood_nll,0.6510009919585011
ood_roc_auc,0.7105393369619001
ood_quantum_kernel_alignment,0.0638458544058548
ood_quantum_kernel_effective_rank,128.45889208756046
ood_quantum_kernel_trace,256.0
ood_quantum_kernel_mean_offdiag,0.06687548756599426
ood_quantum_kernel_sample_n,256.0
ood_quantum_kernel_sample_class0_n,134.0
ood_quantum_kernel_sample_class1_n,122.0
ood_quantum_kernel_sampling_strategy,2.0
ood_composition_accuracy,0.5722222222222222
ood_composition_balanced_accuracy,0.5718294051627385
ood_composition_macro_f1,0.5706186684841538
ood_composition_macro_precision,0.5711462450592886
ood_composition_macro_recall,0.5718294051627385
ood_composition_brier,0.5429819399902888
ood_composition_ece_10,0.1201613585819013
ood_composition_nll,0.7739117371814861
ood_composition_roc_auc,0.5756328719291682
ood_composition_quantum_kernel_alignment,0.0754682409203615
ood_composition_quantum_kernel_effective_rank,93.9210807596893
ood_composition_quantum_kernel_trace,180.00003051757812
ood_composition_quantum_kernel_mean_offdiag,0.06798189878463745
ood_composition_quantum_kernel_sample_n,180.0
ood_composition_quantum_kernel_sample_class0_n,99.0
ood_composition_quantum_kernel_sample_class1_n,81.0
ood_composition_quantum_kernel_sampling_strategy,2.0
ood_depth_accuracy,0.7555555555555555
ood_depth_balanced_accuracy,0.7568835658723299
ood_depth_macro_f1,0.7525
ood_depth_macro_precision,0.7716412064238152
ood_depth_macro_recall,0.7568835658723299
ood_depth_brier,0.3493017797385653
ood_depth_ece_10,0.04100357172201386
ood_depth_nll,0.5280902467355161
ood_depth_roc_auc,0.8292381775527843
ood_depth_quantum_kernel_alignment,0.09310843325272065
ood_depth_quantum_kernel_effective_rank,102.36242307637237
ood_depth_quantum_kernel_trace,180.0
ood_depth_quantum_kernel_mean_offdiag,0.0709005743265152
ood_depth_quantum_kernel_sample_n,180.0
ood_depth_quantum_kernel_sample_class0_n,89.0
ood_depth_quantum_kernel_sample_class1_n,91.0
ood_depth_quantum_kernel_sampling_strategy,2.0
model_n_qubits,6
model_n_layers,2
model_state_dim,64
model_data_reuploading,True
model_parameter_count,686
model_single_qubit_rotation_count_proxy,24
model_two_qubit_gate_count_proxy,10
model_depth_proxy,6
model_bare_statevector_memory_gb_per_sample_complex64,4.76837158203125e-07
model_primitive_role_encoding_active,True
elapsed_seconds,6.830408333000378
