split,local_index,y_true
ood,0,0
ood,1,0
ood,2,0
ood,3,0
ood,4,0
ood,5,1
ood,7,0
ood,8,1
ood,10,0
ood,12,1
ood,15,1
ood,17,1
ood,18,0
ood,19,1
ood,21,1
ood,22,1
ood,23,0
ood,26,1
ood,27,1
ood,29,0
ood,30,0
ood,31,1
ood,32,0
ood,33,0
ood,34,1
ood,35,0
ood,37,0
ood,39,0
ood,40,1
ood,41,1
ood,42,0
ood,43,0
ood,44,1
ood,45,1
ood,46,1
ood,47,0
ood,48,1
ood,49,1
ood,50,1
ood,51,0
ood,52,1
ood,53,1
ood,54,0
ood,55,0
ood,56,0
ood,58,1
ood,59,0
ood,60,0
ood,62,1
ood,64,0
ood,65,1
ood,67,1
ood,68,0
ood,70,1
ood,73,0
ood,75,0
ood,77,0
ood,80,0
ood,81,0
ood,83,0
ood,85,1
ood,86,0
ood,87,1
ood,88,1
ood,89,0
ood,90,0
ood,91,0
ood,92,1
ood,93,0
ood,94,1
ood,96,0
ood,97,1
ood,98,0
ood,99,0
ood,101,0
ood,102,0
ood,103,0
ood,104,0
ood,108,0
ood,109,1
ood,111,1
ood,112,1
ood,113,0
ood,114,0
ood,115,0
ood,116,0
ood,118,0
ood,120,1
ood,121,1
ood,122,0
ood,123,0
ood,124,1
ood,125,1
ood,126,1
ood,128,1
ood,129,1
ood,131,0
ood,133,0
ood,134,1
ood,136,1
ood,137,0
ood,138,1
ood,141,0
ood,142,1
ood,143,0
ood,144,1
ood,145,1
ood,146,1
ood,147,0
ood,148,0
ood,149,0
ood,150,1
ood,154,0
ood,156,1
ood,157,1
ood,158,0
ood,159,0
ood,160,1
ood,162,0
ood,163,0
ood,165,0
ood,166,1
ood,168,1
ood,169,0
ood,170,1
ood,171,1
ood,172,1
ood,174,1
ood,175,0
ood,176,1
ood,177,1
ood,180,0
ood,181,1
ood,182,1
ood,185,1
ood,186,1
ood,187,1
ood,189,0
ood,190,0
ood,191,0
ood,192,0
ood,193,1
ood,195,0
ood,196,0
ood,197,0
ood,198,1
ood,199,1
ood,200,1
ood,201,1
ood,202,0
ood,203,1
ood,204,1
ood,208,0
ood,209,1
ood,210,0
ood,211,1
ood,213,0
ood,214,0
ood,215,1
ood,216,0
ood,217,1
ood,218,0
ood,219,0
ood,220,1
ood,225,1
ood,226,1
ood,228,0
ood,229,1
ood,230,0
ood,231,1
ood,232,0
ood,233,0
ood,234,0
ood,236,1
ood,239,0
ood,240,1
ood,243,1
ood,244,0
ood,245,0
ood,248,0
ood,249,0
ood,250,0
ood,251,0
ood,252,0
ood,253,0
ood,254,1
ood,255,1
ood,256,1
ood,257,0
ood,258,0
ood,259,1
ood,260,0
ood,262,1
ood,264,0
ood,266,0
ood,268,0
ood,269,1
ood,270,1
ood,271,1
ood,272,1
ood,273,1
ood,275,1
ood,276,1
ood,277,0
ood,279,0
ood,284,1
ood,286,1
ood,288,0
ood,289,0
ood,290,1
ood,291,0
ood,292,0
ood,294,0
ood,295,1
ood,296,0
ood,297,1
ood,299,1
ood,300,0
ood,301,1
ood,302,1
ood,303,0
ood,304,0
ood,305,1
ood,306,1
ood,308,0
ood,309,1
ood,311,1
ood,314,1
ood,315,1
ood,316,0
ood,317,1
ood,318,0
ood,319,1
ood,320,0
ood,322,0
ood,323,0
ood,324,0
ood,326,0
ood,327,1
ood,329,0
ood,330,1
ood,332,1
ood,333,0
ood,337,1
ood,343,0
ood,344,1
ood,345,0
ood,346,1
ood,347,0
ood,349,0
ood,350,0
ood,352,0
ood,354,1
ood,355,0
ood,357,1
ood,358,0
