split,local_index,y_true
ood,0,1
ood,1,1
ood,2,1
ood,5,1
ood,6,0
ood,9,0
ood,10,0
ood,11,0
ood,15,1
ood,18,0
ood,20,0
ood,22,1
ood,23,0
ood,24,0
ood,27,1
ood,28,1
ood,30,1
ood,32,0
ood,33,1
ood,34,0
ood,35,1
ood,36,0
ood,37,1
ood,38,0
ood,39,1
ood,40,0
ood,43,0
ood,45,0
ood,46,1
ood,48,1
ood,49,0
ood,51,0
ood,52,0
ood,54,1
ood,55,0
ood,56,0
ood,57,1
ood,58,1
ood,60,0
ood,61,1
ood,64,0
ood,66,0
ood,67,1
ood,69,0
ood,70,0
ood,71,0
ood,72,1
ood,73,0
ood,74,1
ood,76,0
ood,77,1
ood,78,0
ood,80,1
ood,81,0
ood,82,0
ood,83,0
ood,84,0
ood,85,1
ood,86,1
ood,88,0
ood,89,0
ood,90,1
ood,91,0
ood,94,1
ood,95,0
ood,97,1
ood,98,0
ood,99,1
ood,101,1
ood,102,1
ood,103,1
ood,105,0
ood,106,0
ood,107,0
ood,108,0
ood,109,0
ood,110,1
ood,111,1
ood,112,0
ood,113,0
ood,114,0
ood,115,1
ood,117,1
ood,119,1
ood,120,1
ood,121,0
ood,122,0
ood,123,1
ood,124,0
ood,125,1
ood,126,0
ood,127,1
ood,129,1
ood,130,1
ood,131,1
ood,132,0
ood,133,0
ood,134,1
ood,135,0
ood,137,1
ood,138,0
ood,139,1
ood,140,0
ood,141,0
ood,144,1
ood,145,1
ood,147,1
ood,148,0
ood,149,0
ood,150,1
ood,152,0
ood,155,0
ood,158,1
ood,159,1
ood,160,1
ood,161,1
ood,162,0
ood,163,0
ood,164,1
ood,165,1
ood,167,0
ood,168,0
ood,169,1
ood,170,0
ood,171,1
ood,172,0
ood,173,1
ood,174,0
ood,176,1
ood,177,0
ood,178,0
ood,179,0
ood,180,0
ood,181,0
ood,182,0
ood,185,0
ood,187,0
ood,189,0
ood,191,0
ood,192,1
ood,193,1
ood,194,1
ood,196,1
ood,197,0
ood,198,0
ood,199,0
ood,200,1
ood,201,1
ood,203,0
ood,204,1
ood,205,1
ood,206,1
ood,208,1
ood,209,1
ood,210,1
ood,211,0
ood,212,0
ood,215,0
ood,216,0
ood,218,0
ood,219,1
ood,220,0
ood,221,1
ood,222,1
ood,223,0
ood,226,0
ood,229,0
ood,230,0
ood,231,0
ood,233,0
ood,234,0
ood,235,0
ood,236,1
ood,238,0
ood,239,0
ood,241,1
ood,242,1
ood,244,0
ood,245,1
ood,247,0
ood,248,0
ood,249,0
ood,250,1
ood,251,1
ood,252,1
ood,253,1
ood,254,0
ood,256,1
ood,261,1
ood,262,1
ood,263,1
ood,264,0
ood,265,1
ood,266,1
ood,268,0
ood,269,0
ood,271,0
ood,272,1
ood,273,1
ood,274,0
ood,275,0
ood,280,1
ood,281,1
ood,282,0
ood,283,1
ood,284,0
ood,285,1
ood,289,1
ood,290,1
ood,291,0
ood,293,0
ood,295,1
ood,297,0
ood,298,0
ood,299,0
ood,300,1
ood,302,0
ood,303,0
ood,304,1
ood,306,1
ood,307,1
ood,308,1
ood,310,1
ood,311,1
ood,312,1
ood,314,1
ood,315,0
ood,316,0
ood,317,0
ood,318,0
ood,319,1
ood,321,1
ood,322,1
ood,323,1
ood,324,1
ood,325,1
ood,327,1
ood,329,0
ood,330,0
ood,335,0
ood,338,0
ood,340,1
ood,342,0
ood,343,1
ood,345,1
ood,346,0
ood,347,1
ood,348,1
ood,351,0
ood,352,1
ood,353,0
ood,355,0
ood,356,0
ood,357,0
ood,358,0
ood,359,1
