split,local_index,y_true
ood,1,0
ood,2,1
ood,3,0
ood,4,0
ood,6,1
ood,8,1
ood,9,1
ood,10,1
ood,11,0
ood,12,1
ood,14,0
ood,15,1
ood,17,0
ood,18,1
ood,20,1
ood,21,1
ood,23,1
ood,25,0
ood,26,1
ood,27,1
ood,28,1
ood,29,0
ood,30,1
ood,34,1
ood,36,1
ood,37,1
ood,38,0
ood,39,1
ood,40,0
ood,43,0
ood,44,0
ood,45,1
ood,47,1
ood,49,0
ood,52,1
ood,53,0
ood,54,0
ood,55,0
ood,56,0
ood,59,0
ood,60,1
ood,62,0
ood,63,0
ood,64,0
ood,65,1
ood,67,0
ood,68,0
ood,70,0
ood,73,0
ood,74,0
ood,75,0
ood,76,1
ood,78,1
ood,79,0
ood,80,0
ood,83,0
ood,84,1
ood,87,0
ood,88,1
ood,90,1
ood,91,0
ood,93,0
ood,94,0
ood,95,0
ood,97,0
ood,99,0
ood,102,1
ood,103,0
ood,104,0
ood,105,0
ood,107,1
ood,108,1
ood,110,1
ood,111,0
ood,112,0
ood,113,0
ood,115,1
ood,116,0
ood,117,0
ood,118,1
ood,119,0
ood,121,0
ood,122,0
ood,124,0
ood,125,1
ood,126,0
ood,127,0
ood,128,0
ood,129,1
ood,130,0
ood,131,1
ood,133,1
ood,135,0
ood,136,1
ood,137,1
ood,141,0
ood,143,1
ood,144,1
ood,145,0
ood,146,1
ood,148,0
ood,149,0
ood,150,0
ood,151,0
ood,152,1
ood,153,0
ood,156,0
ood,157,1
ood,158,1
ood,160,0
ood,161,0
ood,162,1
ood,163,1
ood,164,0
ood,165,0
ood,166,1
ood,169,1
ood,170,1
ood,171,1
ood,174,0
ood,176,1
ood,179,1
ood,180,0
ood,181,0
ood,184,0
ood,185,1
ood,186,1
ood,187,1
ood,188,1
ood,190,0
ood,191,1
ood,192,0
ood,193,1
ood,195,1
ood,199,1
ood,202,0
ood,203,0
ood,205,0
ood,207,1
ood,209,1
ood,210,1
ood,211,1
ood,212,1
ood,213,0
ood,214,0
ood,217,0
ood,218,1
ood,219,0
ood,222,1
ood,223,0
ood,224,0
ood,225,0
ood,226,0
ood,227,0
ood,229,1
ood,230,1
ood,233,0
ood,234,0
ood,235,1
ood,236,0
ood,237,1
ood,238,0
ood,239,1
ood,240,0
ood,242,0
ood,243,0
ood,244,1
ood,245,1
ood,246,1
ood,247,0
ood,248,0
ood,249,0
ood,251,0
ood,252,1
ood,253,0
ood,256,1
ood,257,1
ood,258,0
ood,259,1
ood,261,1
ood,262,0
ood,263,0
ood,264,1
ood,265,1
ood,267,0
ood,268,0
ood,269,1
ood,270,0
ood,271,0
ood,272,0
ood,273,1
ood,274,1
ood,275,1
ood,276,0
ood,278,1
ood,279,0
ood,280,1
ood,282,0
ood,283,1
ood,284,1
ood,285,1
ood,286,1
ood,288,0
ood,291,1
ood,292,1
ood,293,0
ood,294,0
ood,295,0
ood,296,0
ood,297,0
ood,298,1
ood,299,1
ood,301,1
ood,306,0
ood,307,0
ood,308,0
ood,310,1
ood,312,1
ood,313,0
ood,314,1
ood,315,0
ood,316,1
ood,317,0
ood,318,0
ood,319,0
ood,320,1
ood,322,1
ood,323,1
ood,324,0
ood,325,0
ood,326,1
ood,327,1
ood,328,0
ood,329,0
ood,332,1
ood,334,0
ood,335,1
ood,336,1
ood,339,0
ood,341,0
ood,343,0
ood,344,0
ood,345,0
ood,346,0
ood,347,1
ood,348,0
ood,349,1
ood,350,0
ood,352,1
ood,353,0
ood,354,0
ood,355,0
ood,356,1
ood,357,0
ood,358,1
ood,359,0
