metric,value
train_accuracy,0.6
train_balanced_accuracy,0.5977743902439024
train_macro_f1,0.585400223698096
train_macro_precision,0.612592686215032
train_macro_recall,0.5977743902439024
train_brier,0.4722401806947754
train_ece_10,0.04227366424577939
train_nll,0.6648672250136983
train_roc_auc,0.6609817073170732
val_accuracy,0.4925925925925926
val_balanced_accuracy,0.5360134480597185
val_macro_f1,0.484897856874295
val_macro_precision,0.5428648941942485
val_macro_recall,0.5360134480597185
val_brier,0.520438101825215
val_ece_10,0.06520630131722917
val_nll,0.7141602465342296
val_roc_auc,0.5276084107356545
test_accuracy,0.4888888888888889
test_balanced_accuracy,0.5074440525609414
test_macro_f1,0.4811379872164432
test_macro_precision,0.5083887306109528
test_macro_recall,0.5074440525609414
test_brier,0.5108643829460077
test_ece_10,0.0679020148565407
test_nll,0.7044730647557804
test_roc_auc,0.52991666406567
test_quantum_kernel_alignment,0.03936698826623965
test_quantum_kernel_effective_rank,85.99608319167237
test_quantum_kernel_trace,256.0
test_quantum_kernel_mean_offdiag,0.12126239389181137
test_quantum_kernel_sample_n,256.0
test_quantum_kernel_sample_class0_n,142.0
test_quantum_kernel_sample_class1_n,114.0
test_quantum_kernel_sampling_strategy,2.0
ood_accuracy,0.46111111111111114
ood_balanced_accuracy,0.4792185166749627
ood_macro_f1,0.44675053075192495
ood_macro_precision,0.47518942207695736
ood_macro_recall,0.4792185166749627
ood_brier,0.5211501097368986
ood_ece_10,0.10018202323306484
ood_nll,0.7148555127939782
ood_roc_auc,0.49710676953708316
ood_quantum_kernel_alignment,0.02944351776506813
ood_quantum_kernel_effective_rank,96.73570223225057
ood_quantum_kernel_trace,256.00006103515625
ood_quantum_kernel_mean_offdiag,0.10182502865791321
ood_quantum_kernel_sample_n,256.0
ood_quantum_kernel_sample_class0_n,139.0
ood_quantum_kernel_sample_class1_n,117.0
ood_quantum_kernel_sampling_strategy,2.0
ood_composition_accuracy,0.4444444444444444
ood_composition_balanced_accuracy,0.465
ood_composition_macro_f1,0.4343891402714932
ood_composition_macro_precision,0.45967741935483875
ood_composition_macro_recall,0.465
ood_composition_brier,0.5324779998150709
ood_composition_ece_10,0.1200333060252892
ood_composition_nll,0.7263686121466827
ood_composition_roc_auc,0.460625
ood_composition_quantum_kernel_alignment,0.04212061332036605
ood_composition_quantum_kernel_effective_rank,69.56652308516213
ood_composition_quantum_kernel_trace,180.00003051757812
ood_composition_quantum_kernel_mean_offdiag,0.11272045224905014
ood_composition_quantum_kernel_sample_n,180.0
ood_composition_quantum_kernel_sample_class0_n,100.0
ood_composition_quantum_kernel_sample_class1_n,80.0
ood_composition_quantum_kernel_sampling_strategy,2.0
ood_depth_accuracy,0.4777777777777778
ood_depth_balanced_accuracy,0.49255952380952384
ood_depth_macro_f1,0.4584560235565228
ood_depth_macro_precision,0.4907692307692308
ood_depth_macro_recall,0.49255952380952384
ood_depth_brier,0.5098222196587263
ood_depth_ece_10,0.08165200344886354
ood_depth_nll,0.7033424134412738
ood_depth_roc_auc,0.5336061507936508
ood_depth_quantum_kernel_alignment,0.03790572619969175
ood_depth_quantum_kernel_effective_rank,82.70711900295879
ood_depth_quantum_kernel_trace,180.00003051757812
ood_depth_quantum_kernel_mean_offdiag,0.10158080607652664
ood_depth_quantum_kernel_sample_n,180.0
ood_depth_quantum_kernel_sample_class0_n,96.0
ood_depth_quantum_kernel_sample_class1_n,84.0
ood_depth_quantum_kernel_sampling_strategy,2.0
model_n_qubits,6
model_n_layers,2
model_state_dim,64
model_data_reuploading,True
model_parameter_count,686
model_single_qubit_rotation_count_proxy,24
model_two_qubit_gate_count_proxy,8
model_depth_proxy,6
model_bare_statevector_memory_gb_per_sample_complex64,4.76837158203125e-07
model_primitive_role_encoding_active,True
elapsed_seconds,2.2039902500109747
