source,model_name,model_type,topology,n_seeds,runtime_seconds_mean,parameter_count_mean,train_balanced_accuracy_mean,train_balanced_accuracy_ci_low,train_balanced_accuracy_ci_high,train_balanced_accuracy_std,val_balanced_accuracy_mean,val_balanced_accuracy_ci_low,val_balanced_accuracy_ci_high,val_balanced_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high,test_balanced_accuracy_std,ood_composition_balanced_accuracy_mean,ood_composition_balanced_accuracy_ci_low,ood_composition_balanced_accuracy_ci_high,ood_composition_balanced_accuracy_std,ood_depth_balanced_accuracy_mean,ood_depth_balanced_accuracy_ci_low,ood_depth_balanced_accuracy_ci_high,ood_depth_balanced_accuracy_std
classical,corrected_rbf_svm,rbf_svm,classical,10,0.6808669666977949,0.0,0.9934733259730579,0.9914558679649516,0.9955406790921998,0.0034685187195870027,0.7407342142204507,0.7260488948420369,0.7566116078086881,0.026017051726457453,0.748748090266979,0.7360671575120685,0.7614429317013537,0.02149184486749294,0.5180430446867265,0.4826632353428964,0.553851932212228,0.0601610634946559,0.7737756711768238,0.7631355024781399,0.7846466215062724,0.01810687228452046
classical,extra_trees_500,extra_trees,classical,10,1.2794969501017477,0.0,1.0,1.0,1.0,0.0,0.8249860572592974,0.8154201490075456,0.8349647545057443,0.016648068496526898,0.8095029218360033,0.7986053782729097,0.8218610618944568,0.01986303611337889,0.5460401744595706,0.5072531456637653,0.581731117362218,0.06344924316765421,0.8553276933506773,0.8468617847952157,0.8650603100334195,0.015562081964178184
classical,gradient_boosting_300,gradient_boosting,classical,10,0.5910545083024772,0.0,0.9409230463156899,0.9340050533918622,0.9473229028006138,0.011415535421192053,0.7615549661418297,0.7467882701911801,0.7771657010041135,0.025898927767564396,0.7556739668940963,0.7404669735030811,0.7696129148370013,0.024958399303420652,0.5236082949683423,0.49548323675150535,0.5510363379710532,0.04723650335043608,0.8046169079872498,0.7910902122948679,0.8181950237879375,0.022883299677916604
classical,logistic,logistic_regression,classical,10,0.6812583918042947,100.0,0.6857081621292286,0.6780562573216521,0.6932485694975178,0.012881901594711311,0.6624041934553809,0.6483287233261975,0.6756133297177994,0.02329461192555675,0.6495870470584492,0.6308440908704241,0.667826554101943,0.03198369153277048,0.5345367423438837,0.5060948100628175,0.5657327207996443,0.05012177747528739,0.7197788572452144,0.6948716437029033,0.7460556152166533,0.04367718117894166
classical,majority,majority,classical,10,0.6447007374983513,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
classical,poly_svm_d3,poly_svm,classical,10,0.4340594417983084,0.0,0.9980769475869744,0.9968702931831789,0.9991301023431142,0.001962408185783999,0.7655933211690071,0.7522599236413035,0.7786596695438379,0.022713330812728236,0.763851088830927,0.7491847831268962,0.7789120490152125,0.02524624682574601,0.5200734902847356,0.48876793122255907,0.5533928608179937,0.05443717329850587,0.8076216285681953,0.7902730562305162,0.8229212676199236,0.027851207620077017
classical,random_forest_500,random_forest,classical,10,1.3429049752026914,0.0,1.0,1.0,1.0,0.0,0.7979111779328882,0.7867987173569988,0.8074021410479162,0.01760831199465462,0.7920773711258752,0.7797103462628299,0.8050050489762312,0.021737131947901767,0.548214092943368,0.5110086659815498,0.5839510887075746,0.06181476336642558,0.8478784326354948,0.832948039322622,0.8631399964591997,0.02577880361604039
classical,sequence_mlp_256x3,sequence_mlp,classical,10,2.0441870875991297,144898.0,0.9938963749961676,0.9892220535433683,0.9977590684708147,0.007276943735996613,0.8106526029496907,0.7953368815729435,0.8247289302517847,0.025083937330665027,0.7837207804519066,0.7618297443632058,0.806097881846259,0.03754070020708154,0.6142113785330413,0.59423039556721,0.6351124308297401,0.03455691472438092,0.8113071658640049,0.7979757176998578,0.8235103504545845,0.021675023504842857
topology,qfc_all_to_all,grammar_structured_quantum_feature,all_to_all,10,7.019048387497605,686.0,0.9492245382436852,0.9384547980007151,0.9606244613985686,0.01876816561475272,0.791210418692019,0.7725020526567064,0.8081217651741971,0.03015371422734312,0.760372703050015,0.7400553659232755,0.7796136685693872,0.03367178033401446,0.6446262442071613,0.6118975611140706,0.6815927750157706,0.05864593905777123,0.7987288789361054,0.7814071558706348,0.8143512259342747,0.027980861264055877
topology,qfc_grammar,grammar_structured_quantum_feature,grammar,10,5.4217495458011395,686.0,0.9181949301416793,0.8940643001380639,0.9432241537234255,0.041747322715226534,0.7712046805182736,0.747123142099278,0.7930057560648827,0.03918328184051209,0.742916210190125,0.7120148281981374,0.7713421179969022,0.05052850600868334,0.5912196800560062,0.5577405783775744,0.6223973510662786,0.054790610349959454,0.7708711404163415,0.7436101949488052,0.7962359368069966,0.0447708894041458
