model_name,split,quantum_trained_balanced_accuracy_mean,quantum_untrained_balanced_accuracy_mean,best_classical_balanced_accuracy_mean,delta_quantum_minus_best_classical,delta_trained_minus_untrained_quantum
qfc_all_to_all,ood_composition,0.6245496876841232,0.5029229831544448,0.5189511632135734,0.10559852447054976,0.12162670452967828
qfc_all_to_all,ood_depth,0.784926016425407,0.5766101893985773,0.7654028700549883,0.019523146370418725,0.2083158270268297
qfc_all_to_all,test,0.7508933269429856,0.5863964585326586,0.7050045250478642,0.045888801895121525,0.16449686841032693
qfc_grammar,ood_composition,0.5645988703446772,0.49678669886961613,0.5189511632135734,0.04564770713110372,0.06781217147506095
qfc_grammar,ood_depth,0.7540427397383959,0.5578780078592607,0.7654028700549883,-0.011360130316592451,0.1961647318791352
qfc_grammar,test,0.7328451922972383,0.5778536782800096,0.7050045250478642,0.027840667249374246,0.15499151401722877
qfc_linear_chain,ood_composition,0.6038617457274448,0.5045932712311105,0.5189511632135734,0.08491058251387132,0.09926847449633411
qfc_linear_chain,ood_depth,0.7684235367131794,0.5717858958572517,0.7654028700549883,0.003020666658191074,0.19663764085592766
qfc_linear_chain,test,0.755774098752896,0.5767228211272462,0.7050045250478642,0.05076957370503188,0.1790512776256498
qfc_no_entanglement,ood_composition,0.5869350576231817,0.5083111203137721,0.5189511632135734,0.06798389440960828,0.0786239373094095
qfc_no_entanglement,ood_depth,0.7602464945955946,0.5537766755959286,0.7654028700549883,-0.005156375459393725,0.20646981899966604
qfc_no_entanglement,test,0.7387597921660027,0.5564666221158765,0.7050045250478642,0.03375526711813862,0.18229317005012619
qfc_random_01,ood_composition,0.6208530137506103,0.4992986725471641,0.5189511632135734,0.10190185053703693,0.12155434120344621
qfc_random_01,ood_depth,0.768253370333901,0.5704529636385418,0.7654028700549883,0.00285050027891255,0.19780040669535903
qfc_random_01,test,0.754014259717444,0.5769140607883344,0.7050045250478642,0.04900973466957975,0.17710019892910941
qfc_random_01_random_label,ood_composition,0.49030996748994055,0.511600204004242,0.5189511632135734,-0.028641195723632776,-0.021290236514301352
qfc_random_01_random_label,ood_depth,0.5769979022139307,0.5561587464266318,0.7654028700549883,-0.18840496784105765,0.020839155787298773
qfc_random_01_random_label,test,0.5654858450770387,0.573614536320924,0.7050045250478642,-0.1395186799708254,-0.0081286912438853
qfc_ring,ood_composition,0.5965669542504071,0.4860313135246258,0.5189511632135734,0.07761579103683368,0.11053564072578118
qfc_ring,ood_depth,0.7505292469912915,0.5591649539405971,0.7654028700549883,-0.014873623063696825,0.1913642930506944
qfc_ring,test,0.7420501485150117,0.5653687680113315,0.7050045250478642,0.03704562346714755,0.17668138050368015
