model_name,split,n_paired_seeds,delta_mean,delta_ci_low,delta_ci_high,delta_std,positive_seed_count
qfc_all_to_all,ood_composition,10,0.030414865674119884,-0.004211028190391967,0.07025512256574191,0.06258471586465504,7
qfc_all_to_all,ood_depth,10,-0.056598814414572006,-0.07613222407045238,-0.03847952444849609,0.03193012073490719,0
qfc_all_to_all,test,10,-0.049130218785988264,-0.06919359835717029,-0.02985714677884941,0.033407086570176985,1
qfc_grammar,ood_composition,10,-0.022991698477035093,-0.07020928276336968,0.017465382684808226,0.07477130922478735,5
qfc_grammar,ood_depth,10,-0.08445655293433588,-0.11865505025521195,-0.05387940724722067,0.05484350060710273,0
qfc_grammar,test,10,-0.0665867116458783,-0.1031492068469014,-0.03086196504406299,0.06160759090711711,2
qfc_linear_chain,ood_composition,10,-0.016104190569493748,-0.05108661827784967,0.01904464945732312,0.059700955918797226,4
qfc_linear_chain,ood_depth,10,-0.06949259776178647,-0.10486233407617067,-0.03681392173182616,0.05810035308719774,0
qfc_linear_chain,test,10,-0.05101219153904949,-0.08362871252909787,-0.01971199062508004,0.05482512797080207,2
qfc_no_entanglement,ood_composition,10,-0.024352277690175023,-0.06692032195651022,0.008393857118895426,0.06549431676838031,4
qfc_no_entanglement,ood_depth,10,-0.08595980723533013,-0.1155585018201324,-0.05859172121538381,0.047477609819649234,0
qfc_no_entanglement,test,10,-0.0702789090295065,-0.10131706104338878,-0.04139853024755252,0.05032559523340206,0
qfc_random_01,ood_composition,10,0.013035640380933512,-0.02265839119188662,0.04643678807706725,0.059541315542378744,7
qfc_random_01,ood_depth,10,-0.06455541498670234,-0.0853119471921302,-0.044961771525231946,0.03436572287111135,0
qfc_random_01,test,10,-0.05991772865269433,-0.08153948686528467,-0.036406770809519276,0.03872961121085446,1
qfc_random_01_random_label,ood_composition,10,-0.13379666322635195,-0.17557384258068828,-0.09746684256675778,0.06765259171596702,0
qfc_random_01_random_label,ood_depth,10,-0.36793005236018217,-0.3792715986510976,-0.3572344047181592,0.018613050871274194,0
qfc_random_01_random_label,test,10,-0.3147762289775007,-0.3309848893322792,-0.3015567345004499,0.025238852211140844,0
qfc_ring,ood_composition,10,-0.022333806991700768,-0.07172473682864107,0.022414775470746013,0.0799426427674133,4
qfc_ring,ood_depth,10,-0.07080322892716107,-0.10834758848462334,-0.03675836291954082,0.06054185472148853,1
qfc_ring,test,10,-0.06188013726734184,-0.09565689749347564,-0.029869539709173283,0.05597911041552094,2
