seed,qfc_balanced_accuracy,classical_balanced_accuracy,model_name,split,delta
11,0.7640926640926642,0.8525868725868726,qfc_all_to_all,test,-0.08849420849420842
23,0.7998455598455598,0.828880308880309,qfc_all_to_all,test,-0.02903474903474912
37,0.7554838509509478,0.795786665011945,qfc_all_to_all,test,-0.040302814060997116
41,0.7203049759229534,0.7809914804296827,qfc_all_to_all,test,-0.0606865045067293
53,0.8045050055617353,0.7976455320726733,qfc_all_to_all,test,0.006859473489062018
67,0.736875,0.81,qfc_all_to_all,test,-0.0731250000000001
79,0.6997767857142857,0.8058035714285714,qfc_all_to_all,test,-0.1060267857142857
83,0.7664165972029267,0.7976752801704177,qfc_all_to_all,test,-0.031258682967491014
97,0.7693233732559575,0.8137115693295469,qfc_all_to_all,test,-0.04438819607358946
109,0.7871032179531197,0.8119479384500141,qfc_all_to_all,test,-0.024844720496894457
11,0.7374517374517375,0.8525868725868726,qfc_grammar,test,-0.11513513513513507
23,0.7094208494208494,0.828880308880309,qfc_grammar,test,-0.11945945945945957
37,0.7621079085352611,0.795786665011945,qfc_grammar,test,-0.033678756476683835
41,0.7731201382886776,0.7809914804296827,qfc_grammar,test,-0.007871342141005044
53,0.8121987393400074,0.7976455320726733,qfc_grammar,test,0.014553207267334112
67,0.744375,0.81,qfc_grammar,test,-0.06562500000000004
79,0.6908482142857142,0.8058035714285714,qfc_grammar,test,-0.1149553571428572
83,0.8089747151986663,0.7976752801704177,qfc_grammar,test,0.011299435028248594
97,0.649833312754661,0.8137115693295469,qfc_grammar,test,-0.16387825657488586
109,0.740831486625675,0.8119479384500141,qfc_grammar,test,-0.07111645182433912
11,0.7685714285714286,0.8525868725868726,qfc_linear_chain,test,-0.08401544401544403
23,0.7782239382239382,0.828880308880309,qfc_linear_chain,test,-0.05065637065637074
37,0.8279141199466352,0.795786665011945,qfc_linear_chain,test,0.03212745493469027
41,0.7451537226818126,0.7809914804296827,qfc_linear_chain,test,-0.035837757747870125
53,0.7809603262884687,0.7976455320726733,qfc_linear_chain,test,-0.016685205784204626
67,0.6937500000000001,0.81,qfc_linear_chain,test,-0.11624999999999996
79,0.7328869047619048,0.8058035714285714,qfc_linear_chain,test,-0.07291666666666663
83,0.808789478558859,0.7976752801704177,qfc_linear_chain,test,0.011114198388441299
97,0.6693727620693912,0.8137115693295469,qfc_linear_chain,test,-0.1443388072601557
109,0.7792846218670995,0.8119479384500141,qfc_linear_chain,test,-0.03266331658291466
11,0.7253281853281853,0.8525868725868726,qfc_no_entanglement,test,-0.12725868725868728
23,0.7949034749034749,0.828880308880309,qfc_no_entanglement,test,-0.03397683397683404
37,0.7258384784834476,0.795786665011945,qfc_no_entanglement,test,-0.06994818652849732
41,0.7621311272996666,0.7809914804296827,qfc_no_entanglement,test,-0.018860353130016105
53,0.6562847608453837,0.7976455320726733,qfc_no_entanglement,test,-0.14136077122728963
