seed,qfc_balanced_accuracy,classical_balanced_accuracy,kernel_source,kernel_name,untrained_balanced_accuracy,delta_qfc_minus_learned_classical,delta_trained_minus_untrained,model_name,split,train_sample_cap,eval_sample_cap
11,0.5943833943833944,0.6494505494505495,mlp_hidden,linear,0.5013431013431013,-0.055067155067155094,0.09304029304029304,qfc_all_to_all,ood_composition,128,128
23,0.6407547169811321,0.6368553459119497,mlp_hidden,rbf_gamma_x0.5,0.44981132075471697,0.003899371069182367,0.1909433962264151,qfc_all_to_all,ood_composition,128,128
37,0.5968741927150607,0.5754327047274606,mlp_hidden,rbf_gamma_x0.5,0.4917334022216482,0.02144148798760015,0.10514079049341252,qfc_all_to_all,ood_composition,128,128
41,0.5058530510585305,0.6087173100871731,mlp_logits,rbf_gamma_x0.5,0.5330012453300124,-0.1028642590286426,-0.02714819427148185,qfc_all_to_all,ood_composition,128,128
53,0.6449221645663454,0.6394860390412651,mlp_hidden,rbf_gamma_x1,0.5500370644922165,0.005436125525080326,0.09488510007412898,qfc_all_to_all,ood_composition,128,128
67,0.6118226600985222,0.6098522167487685,mlp_hidden,rbf_gamma_x2,0.5371921182266011,0.0019704433497536034,0.07463054187192109,qfc_all_to_all,ood_composition,128,128
79,0.6502324443356986,0.6778810863714215,mlp_hidden,linear,0.4541228284805481,-0.027648642035722926,0.19610961585515052,qfc_all_to_all,ood_composition,128,128
83,0.5476923076923077,0.5848717948717949,mlp_logits,rbf_gamma_x1,0.5,-0.03717948717948716,0.0476923076923077,qfc_all_to_all,ood_composition,128,128
97,0.4747247247247247,0.6456456456456456,mlp_hidden,rbf_gamma_x2,0.5287787787787788,-0.17092092092092093,-0.05405405405405406,qfc_all_to_all,ood_composition,128,128
109,0.7432666172473437,0.5835186557944156,mlp_hidden,linear,0.4269829503335804,0.15974796145292802,0.31628366691376325,qfc_all_to_all,ood_composition,128,128
11,0.795045045045045,0.8213213213213213,mlp_hidden,linear,0.41816816816816815,-0.026276276276276267,0.3768768768768769,qfc_all_to_all,ood_depth,128,128
23,0.8501984126984128,0.8382936507936507,mlp_hidden,rbf_gamma_x0.5,0.5198412698412699,0.011904761904762085,0.3303571428571429,qfc_all_to_all,ood_depth,128,128
37,0.7824175824175824,0.7978021978021979,mlp_hidden,rbf_gamma_x0.5,0.5174603174603174,-0.015384615384615441,0.264957264957265,qfc_all_to_all,ood_depth,128,128
41,0.7042735042735042,0.7905982905982906,mlp_logits,rbf_gamma_x0.5,0.5398046398046399,-0.08632478632478635,0.16446886446886433,qfc_all_to_all,ood_depth,128,128
53,0.783743842364532,0.8251231527093597,mlp_hidden,rbf_gamma_x1,0.6201970443349754,-0.04137931034482767,0.16354679802955663,qfc_all_to_all,ood_depth,128,128
67,0.774969474969475,0.8211233211233211,mlp_hidden,rbf_gamma_x2,0.5794871794871794,-0.0461538461538461,0.19548229548229556,qfc_all_to_all,ood_depth,128,128
79,0.6407624633431085,0.8198924731182795,mlp_hidden,linear,0.5982404692082112,-0.17913000977517102,0.04252199413489732,qfc_all_to_all,ood_depth,128,128
