seed,topology,qfc_learned_centered_alignment,qfc_tensor_train_centered_alignment,exact_training_kernel_displacement,exact_initial_trained_centered_alignment
11,qfc_all_to_all,0.24291799980283774,0.18503149539960334,0.7343772103182411,0.5332775996446631
11,qfc_random_01,0.2425108850163513,0.19123555034231424,0.7422539013971814,0.5383855503846323
23,qfc_all_to_all,0.25565305532590404,0.24913375040702504,0.7132674355171669,0.5671705948500307
23,qfc_random_01,0.2654543462839643,0.2300974966119601,0.7473080943887939,0.55064094632898
37,qfc_all_to_all,0.29290807173979916,0.16593666083760314,0.7068798760219698,0.5478955678598257
37,qfc_random_01,0.3272586509497776,0.18219410156535112,0.7540535119113244,0.5283101309678379
41,qfc_all_to_all,0.21200927042915566,0.14027455527982496,0.7249142008016856,0.5591872270575967
41,qfc_random_01,0.2505969464433854,0.1696742547064324,0.7694054333077377,0.5396684722439278
53,qfc_all_to_all,0.3051317107343037,0.1776259392287773,0.7270685880151313,0.5203128203895967
53,qfc_random_01,0.27038328514056603,0.13619190815017684,0.7386461841545504,0.5244571379275775
67,qfc_all_to_all,0.3155536348731876,0.22267837092752532,0.7289367846059095,0.4914485901848375
67,qfc_random_01,0.3512838776146432,0.24254726922450195,0.7728356061251225,0.4863006330873343
79,qfc_all_to_all,0.2216249477847854,0.189578047886563,0.7144401563283165,0.5703330643629807
79,qfc_random_01,0.25127732975949746,0.22280504315466496,0.7721603077639574,0.5195354840314481
83,qfc_all_to_all,0.32502792823561877,0.11836893479227152,0.7635664147966004,0.49471659076643576
83,qfc_random_01,0.2349529450408244,0.07719338648539885,0.7370126951793249,0.5554486651678626
97,qfc_all_to_all,0.3224907624750161,0.22018170119801025,0.7238649179596189,0.5462157278407986
97,qfc_random_01,0.2706013245399584,0.18645697229541738,0.7481626082501638,0.5331770530750258
109,qfc_all_to_all,0.29634064625864365,0.2627112440475937,0.733219179655864,0.4924244641352974
109,qfc_random_01,0.22324465312438477,0.18133839332877924,0.7126676961011209,0.5215087719782723
