seed,topology,initial_checkpoint,initial_sha256,trained_checkpoint,trained_sha256,shuffled_checkpoint,shuffled_sha256,rng_state,rng_state_sha256,kernel_archive,kernel_archive_sha256,ordinary_best_epoch,shuffled_best_epoch,initial_checkpoint_shared_by_both_training_runs
11,qfc_all_to_all,results/exact_initialization/seed_11/qfc_all_to_all/model_initial.pt,01d42a7ce2a436378d222e8acb1f00f6e6551748d03ca8529ebc89a4fefa764e,results/exact_initialization/seed_11/qfc_all_to_all/ordinary_labels/model_best.pt,86259bd7181bdc8f537d58384f373329991fe32da13e69647ed72a9f4e7f1681,results/exact_initialization/seed_11/qfc_all_to_all/shuffled_labels/model_best.pt,8a63cadc16ee7854c5d2734c61082c3d338b8d4c8694744921546b47c03ac09e,results/exact_initialization/seed_11/qfc_all_to_all/rng_state_after_initialization.pkl,d1b15edfcc8b10229ab9eb925ddb3087e1b99413a72b6b90072ae8d7451e0e1d,results/exact_initialization/seed_11/qfc_all_to_all/state_overlap_kernels.npz,e6335276a80bcad65378c41c84d0a8fbed766adc8cb79d189d98a57e4b64fdc8,44,9,True
11,qfc_random_01,results/exact_initialization/seed_11/qfc_random_01/model_initial.pt,01d42a7ce2a436378d222e8acb1f00f6e6551748d03ca8529ebc89a4fefa764e,results/exact_initialization/seed_11/qfc_random_01/ordinary_labels/model_best.pt,5c4cb1aabadd315485c47846fbba23766157b96d50644cc114bca03d05cd718b,results/exact_initialization/seed_11/qfc_random_01/shuffled_labels/model_best.pt,3a711879d991db6b702daff5641d38c00a7cf0964c518bfb57255f03d94d672c,results/exact_initialization/seed_11/qfc_random_01/rng_state_after_initialization.pkl,d1b15edfcc8b10229ab9eb925ddb3087e1b99413a72b6b90072ae8d7451e0e1d,results/exact_initialization/seed_11/qfc_random_01/state_overlap_kernels.npz,704588d0178d4c6eaedbb4f644a68630dac91df71a33779a09dc633258a758c0,53,19,True
23,qfc_all_to_all,results/exact_initialization/seed_23/qfc_all_to_all/model_initial.pt,d2b19810f89a37e62cf4a46d808e560431338d684925b6108376f7c816ed52ce,results/exact_initialization/seed_23/qfc_all_to_all/ordinary_labels/model_best.pt,91884fd6f537f3c1abb6a57bf56fd55e6f64fa75517720c1c62c2eb87482add3,results/exact_initialization/seed_23/qfc_all_to_all/shuffled_labels/model_best.pt,601f663185f3006cda7826434c068c7c75ed934592dd12857d3f9ac7944a8393,results/exact_initialization/seed_23/qfc_all_to_all/rng_state_after_initialization.pkl,756bd384c7debfa163e0d0bcbb79f771d338c137bc796b27e67d2c0594fe06a4,results/exact_initialization/seed_23/qfc_all_to_all/state_overlap_kernels.npz,cea515240b379fe89053059795e3753cd85caf4273078f1c9a85592e8507aea7,79,3,True
23,qfc_random_01,results/exact_initialization/seed_23/qfc_random_01/model_initial.pt,d2b19810f89a37e62cf4a46d808e560431338d684925b6108376f7c816ed52ce,results/exact_initialization/seed_23/qfc_random_01/ordinary_labels/model_best.pt,d2ff3a75e7f90053286054df686284673f806ed18e5ab135c7a3b64c9f3c8634,results/exact_initialization/seed_23/qfc_random_01/shuffled_labels/model_best.pt,712f615975f1f8f2ddc53496f165ff686d293a8d9f0801ef5a777731ae141b75,results/exact_initialization/seed_23/qfc_random_01/rng_state_after_initialization.pkl,756bd384c7debfa163e0d0bcbb79f771d338c137bc796b27e67d2c0594fe06a4,results/exact_initialization/seed_23/qfc_random_01/state_overlap_kernels.npz,906819d8fea6bd9f135e98798b06c7afca70e6297555185d1b36d9f38377de44,64,2,True
37,qfc_all_to_all,results/exact_initialization/seed_37/qfc_all_to_all/model_initial.pt,5787a1a42c441ba80f28b610acee8dded02e15ef2544ab6e090478bc614602ee,results/exact_initialization/seed_37/qfc_all_to_all/ordinary_labels/model_best.pt,d651f1d6da780e2f3e8bfc3ae8ee7fb559991d2109addb40169409a5c7b1bee1,results/exact_initialization/seed_37/qfc_all_to_all/shuffled_labels/model_best.pt,03223bd6b52740e12c2426ccd07a4f791ba4cceb00fd765b74905da31ec8cab6,results/exact_initialization/seed_37/qfc_all_to_all/rng_state_after_initialization.pkl,65b580b28f587a83540444bf6eef4fa07ed622ef682f81a36b60cbfff7372393,results/exact_initialization/seed_37/qfc_all_to_all/state_overlap_kernels.npz,1e83ce9575e2f8749bbb66126ad1533269cb6e4a6c8b4066a39d2999ca1f2f16,53,11,True
37,qfc_random_01,results/exact_initialization/seed_37/qfc_random_01/model_initial.pt,5787a1a42c441ba80f28b610acee8dded02e15ef2544ab6e090478bc614602ee,results/exact_initialization/seed_37/qfc_random_01/ordinary_labels/model_best.pt,9bd6ac35729fd410af6e5174e01addd1978a69affa7f09c76bf0571097085adb,results/exact_initialization/seed_37/qfc_random_01/shuffled_labels/model_best.pt,625b84d0d1a71335f2cff9a78c1e642cbd3c691565fd7d2da6fba35f178b0be0,results/exact_initialization/seed_37/qfc_random_01/rng_state_after_initialization.pkl,65b580b28f587a83540444bf6eef4fa07ed622ef682f81a36b60cbfff7372393,results/exact_initialization/seed_37/qfc_random_01/state_overlap_kernels.npz,31c3b2b93d361c1111d07d773623c8bee8be0873a362051c4526edabe3bba70c,59,10,True
41,qfc_all_to_all,results/exact_initialization/seed_41/qfc_all_to_all/model_initial.pt,46a2478f017cd89ad59aa32323a6f866557754156f4b06619a592b3c829e9129,results/exact_initialization/seed_41/qfc_all_to_all/ordinary_labels/model_best.pt,de1bff452c131d2a1b207f90f8f3e0a6d9fc96d1b0807ca1acb096944b937580,results/exact_initialization/seed_41/qfc_all_to_all/shuffled_labels/model_best.pt,c8cf589f6dbcf0e5ca84dfabef1a48199837e1eb3ff7fc1f961a253129cb9686,results/exact_initialization/seed_41/qfc_all_to_all/rng_state_after_initialization.pkl,84b4f03c3e8275ae90fe9bf47a1157aa66fa863ec34067bc5a871c161212c6c1,results/exact_initialization/seed_41/qfc_all_to_all/state_overlap_kernels.npz,29405d71416d160d9f768da37ca0c9cd9ddc3f055a89a83bc38ac38383baefe3,46,15,True
41,qfc_random_01,results/exact_initialization/seed_41/qfc_random_01/model_initial.pt,46a2478f017cd89ad59aa32323a6f866557754156f4b06619a592b3c829e9129,results/exact_initialization/seed_41/qfc_random_01/ordinary_labels/model_best.pt,5a5a75708000a6ac0e7f56ea6e715269efa2b888916af6ff5fa244a01f540cd5,results/exact_initialization/seed_41/qfc_random_01/shuffled_labels/model_best.pt,500b9fbb642ab2ca26b2b6caa3ad4dd74ce63b5829b7a10e7fd70c3a7ac8ab62,results/exact_initialization/seed_41/qfc_random_01/rng_state_after_initialization.pkl,84b4f03c3e8275ae90fe9bf47a1157aa66fa863ec34067bc5a871c161212c6c1,results/exact_initialization/seed_41/qfc_random_01/state_overlap_kernels.npz,b6665d02d4d185736667f7883f016134238a5a9adfae82b665d3845eaae584c8,73,2,True
53,qfc_all_to_all,results/exact_initialization/seed_53/qfc_all_to_all/model_initial.pt,62521a28ed68dad125d489f00e44cf52c4592e559db4cc86fd386b960b361a02,results/exact_initialization/seed_53/qfc_all_to_all/ordinary_labels/model_best.pt,f19f6f899db24eacefd6af2c4fb3ecbe6c97185605d5b24364bc8e7838037836,results/exact_initialization/seed_53/qfc_all_to_all/shuffled_labels/model_best.pt,8eadf835970f08e41b88e2918ea46568950cfd0980615b253ebcf50f4f9aec0a,results/exact_initialization/seed_53/qfc_all_to_all/rng_state_after_initialization.pkl,8241a50e71787126bdec650437ef8553acff72e7e7e4833a1986b70e15aadf24,results/exact_initialization/seed_53/qfc_all_to_all/state_overlap_kernels.npz,56017b85bea0fbbee4c752ac1e0749e3a62355c8784538b9bd4328c395449262,71,4,True
53,qfc_random_01,results/exact_initialization/seed_53/qfc_random_01/model_initial.pt,62521a28ed68dad125d489f00e44cf52c4592e559db4cc86fd386b960b361a02,results/exact_initialization/seed_53/qfc_random_01/ordinary_labels/model_best.pt,ee5510591a87273d32492fc32fa7aca7197e6a2635da16d02bebd5ba3a420071,results/exact_initialization/seed_53/qfc_random_01/shuffled_labels/model_best.pt,06bc39ffe94f52f6a4476f35b0d01a423aa5c1d930cc5e1a5bec9d5cfd67839b,results/exact_initialization/seed_53/qfc_random_01/rng_state_after_initialization.pkl,8241a50e71787126bdec650437ef8553acff72e7e7e4833a1986b70e15aadf24,results/exact_initialization/seed_53/qfc_random_01/state_overlap_kernels.npz,6182b71acaae2161092e24abccf0bc356f464ea06fa2667ce85ea9b98eff6d59,51,3,True
