seed,topology,stratum,sample_count,class_0,class_1,qfc_balanced_accuracy,learned_balanced_accuracy,qfc_minus_learned,evaluation_index_sha256
11,qfc_all_to_all,modifier_count_lt_3,93,47,46,0.5814061054579094,0.6352913968547641,-0.05388529139685472,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a
11,qfc_all_to_all,modifier_count_ge_3,35,18,17,0.6274509803921569,0.6862745098039216,-0.05882352941176472,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a
11,qfc_random_01,modifier_count_lt_3,93,47,46,0.6672062904717854,0.6352913968547641,0.03191489361702127,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a
11,qfc_random_01,modifier_count_ge_3,35,18,17,0.7107843137254902,0.6862745098039216,0.02450980392156865,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a
23,qfc_all_to_all,modifier_count_lt_3,108,59,49,0.6196817710134901,0.6163957108267035,0.0032860601867865658,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8
23,qfc_all_to_all,modifier_count_ge_3,20,16,4,0.84375,0.65625,0.1875,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8
23,qfc_random_01,modifier_count_lt_3,108,59,49,0.5892424766516776,0.6163957108267035,-0.02715323417502591,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8
23,qfc_random_01,modifier_count_ge_3,20,16,4,0.78125,0.65625,0.125,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8
37,qfc_all_to_all,modifier_count_lt_3,94,56,38,0.5892857142857143,0.5093984962406015,0.07988721804511278,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425
37,qfc_all_to_all,modifier_count_ge_3,34,23,11,0.6205533596837944,0.7786561264822134,-0.15810276679841895,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425
37,qfc_random_01,modifier_count_lt_3,94,56,38,0.606203007518797,0.5093984962406015,0.09680451127819545,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425
37,qfc_random_01,modifier_count_ge_3,34,23,11,0.6185770750988142,0.7786561264822134,-0.16007905138339917,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425
41,qfc_all_to_all,modifier_count_lt_3,97,56,41,0.508493031358885,0.605836236933798,-0.09734320557491294,bf633a494d01c761d406796b2ed54938c7c71f2a85375f5fd7320c20ab86e9ff
41,qfc_all_to_all,modifier_count_ge_3,31,17,14,0.5021008403361344,0.6197478991596639,-0.11764705882352944,bf633a494d01c761d406796b2ed54938c7c71f2a85375f5fd7320c20ab86e9ff
41,qfc_random_01,modifier_count_lt_3,97,56,41,0.6310975609756098,0.605836236933798,0.025261324041811806,bf633a494d01c761d406796b2ed54938c7c71f2a85375f5fd7320c20ab86e9ff
41,qfc_random_01,modifier_count_ge_3,31,17,14,0.6680672268907563,0.6197478991596639,0.048319327731092376,bf633a494d01c761d406796b2ed54938c7c71f2a85375f5fd7320c20ab86e9ff
53,qfc_all_to_all,modifier_count_lt_3,101,52,49,0.6450156985871272,0.6768053375196232,-0.03178963893249609,c48e5a3d92874d2e2c453fddcc36f04bd7278e8fca6172c6b1d7600bca2d9019
53,qfc_all_to_all,modifier_count_ge_3,27,19,8,0.6282894736842105,0.4967105263157895,0.13157894736842102,c48e5a3d92874d2e2c453fddcc36f04bd7278e8fca6172c6b1d7600bca2d9019
53,qfc_random_01,modifier_count_lt_3,101,52,49,0.5080455259026688,0.6768053375196232,-0.1687598116169544,c48e5a3d92874d2e2c453fddcc36f04bd7278e8fca6172c6b1d7600bca2d9019
53,qfc_random_01,modifier_count_ge_3,27,19,8,0.6546052631578947,0.4967105263157895,0.1578947368421052,c48e5a3d92874d2e2c453fddcc36f04bd7278e8fca6172c6b1d7600bca2d9019
67,qfc_all_to_all,modifier_count_lt_3,97,51,46,0.6202046035805626,0.5986786018755328,0.02152600170502983,c3b137b3285ca338853464bc354c1fe72fc4fe27d375a2d741f3f1bc9816c04d
67,qfc_all_to_all,modifier_count_ge_3,31,19,12,0.5811403508771931,0.6600877192982456,-0.07894736842105254,c3b137b3285ca338853464bc354c1fe72fc4fe27d375a2d741f3f1bc9816c04d
67,qfc_random_01,modifier_count_lt_3,97,51,46,0.6681585677749361,0.5986786018755328,0.0694799658994033,c3b137b3285ca338853464bc354c1fe72fc4fe27d375a2d741f3f1bc9816c04d
67,qfc_random_01,modifier_count_ge_3,31,19,12,0.6337719298245614,0.6600877192982456,-0.02631578947368418,c3b137b3285ca338853464bc354c1fe72fc4fe27d375a2d741f3f1bc9816c04d
79,qfc_all_to_all,modifier_count_lt_3,104,53,51,0.645024047354791,0.7103218645948945,-0.06529781724010353,b4ac83edc5a8ac3dc0c36611d7711df79a49167765532bcf6d84ca648fccca86
79,qfc_all_to_all,modifier_count_ge_3,24,14,10,0.6714285714285715,0.55,0.12142857142857144,b4ac83edc5a8ac3dc0c36611d7711df79a49167765532bcf6d84ca648fccca86
79,qfc_random_01,modifier_count_lt_3,104,53,51,0.6370699223085461,0.7103218645948945,-0.07325194228634846,b4ac83edc5a8ac3dc0c36611d7711df79a49167765532bcf6d84ca648fccca86
79,qfc_random_01,modifier_count_ge_3,24,14,10,0.7214285714285715,0.55,0.17142857142857149,b4ac83edc5a8ac3dc0c36611d7711df79a49167765532bcf6d84ca648fccca86
83,qfc_all_to_all,modifier_count_lt_3,105,65,40,0.5451923076923078,0.575,-0.029807692307692202,d88e2d7065695b3079a9b8d2f46b3f0cee1611a6200718f0fe961e979d9e46c3
