seed,split,count,class_0,class_1,sha256,path
11,train,128,66,62,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,results/index_matched/indices/seed_11/train.npy
11,val,128,66,62,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,results/index_matched/indices/seed_11/val.npy
11,test,128,66,62,43252ae8a3c832f1622ac11d6376431adbe596b98bb9741c6569ba9fe17e7317,results/index_matched/indices/seed_11/test.npy
11,ood_composition,128,65,63,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a,results/index_matched/indices/seed_11/ood_composition.npy
11,ood_depth,128,74,54,6e6962bc1363a0580f8b27ea4af9757be193afd2034121b461c4fb6ba22d2435,results/index_matched/indices/seed_11/ood_depth.npy
23,train,128,65,63,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,results/index_matched/indices/seed_23/train.npy
23,val,128,60,68,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,results/index_matched/indices/seed_23/val.npy
23,test,128,66,62,1da56211c16b657d21dee12a99ba51c7c5f7a1c560906aed3ec01a19d010005f,results/index_matched/indices/seed_23/test.npy
23,ood_composition,128,75,53,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8,results/index_matched/indices/seed_23/ood_composition.npy
23,ood_depth,128,72,56,febc15e648658dd30ab6d924f69c25479615855df74772834f6bfd714d6329a1,results/index_matched/indices/seed_23/ood_depth.npy
37,train,128,65,63,f1d42002f413226bc306dc958898d74182fabd4b18f374cfc961e59604c0b9eb,results/index_matched/indices/seed_37/train.npy
37,val,128,67,61,4a47f768ed5538d5c8446d5af84f72bdea47f2dadad0031850c07d1a40288613,results/index_matched/indices/seed_37/val.npy
37,test,128,69,59,a2d6f92d5867af4f74b5640874331ca74edb1d6219d04d8f54a6b93620867b82,results/index_matched/indices/seed_37/test.npy
37,ood_composition,128,79,49,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425,results/index_matched/indices/seed_37/ood_composition.npy
37,ood_depth,128,63,65,663eef8d256eb5184cc372790f3b2e28ce963238dc884b917bbdcd06135a85f6,results/index_matched/indices/seed_37/ood_depth.npy
41,train,128,71,57,16b989ed2e4b1d71fceb6cbc976cf26c3acf9e4c0d6cb5dc53f4340001e263ae,results/index_matched/indices/seed_41/train.npy
41,val,128,66,62,35424a77bcd9474edf58e0baaafa90656f6d154448bc2e41f7b48ed08e001271,results/index_matched/indices/seed_41/val.npy
41,test,128,63,65,173a102a77918ac8f244b1c3f997738325c137cd346fc7d52678c63a5545e9c7,results/index_matched/indices/seed_41/test.npy
41,ood_composition,128,73,55,bf633a494d01c761d406796b2ed54938c7c71f2a85375f5fd7320c20ab86e9ff,results/index_matched/indices/seed_41/ood_composition.npy
41,ood_depth,128,63,65,b8f94f30484c5f80fe172e1a7262585534e56afc03ff3eb2ba4d74e16f793e54,results/index_matched/indices/seed_41/ood_depth.npy
53,train,128,64,64,da14fe68bf51ab9c873055e0b253e14c7dccd0234e8eb4abcdf4f1628ffbb6d7,results/index_matched/indices/seed_53/train.npy
53,val,128,65,63,6a9aa46a1ccb846b8f794b84535d7d636052845abf211c109bac77b5199defc8,results/index_matched/indices/seed_53/val.npy
53,test,128,66,62,967aa06767a5510777226dad19142fdb85eb18c55127e3508918c88c0451aa5b,results/index_matched/indices/seed_53/test.npy
53,ood_composition,128,71,57,c48e5a3d92874d2e2c453fddcc36f04bd7278e8fca6172c6b1d7600bca2d9019,results/index_matched/indices/seed_53/ood_composition.npy
53,ood_depth,128,58,70,1e42fbc39ddcb94e9325595b54ec30e36d6b86fa9306bf1548e587710baa377b,results/index_matched/indices/seed_53/ood_depth.npy
67,train,128,69,59,f1ffea23da795b16cf9c74e5b7379b1e66e1679d2e8bc13ad2496aa24ac29aaf,results/index_matched/indices/seed_67/train.npy
67,val,128,63,65,62cf8e6a9ad659b379032bfa1824ad830cef81d4cd762730f0f605b944acd7b7,results/index_matched/indices/seed_67/val.npy
67,test,128,71,57,9138d18515e3c3d7b5f726038ea2e2a1b43a8ccac0ef23a8e0fc7d54df4682c5,results/index_matched/indices/seed_67/test.npy
67,ood_composition,128,70,58,c3b137b3285ca338853464bc354c1fe72fc4fe27d375a2d741f3f1bc9816c04d,results/index_matched/indices/seed_67/ood_composition.npy
67,ood_depth,128,63,65,bbeb48faa60c62749b3a15d4f6d6c818317fe60587d2ef9851cbf1b8588d82f6,results/index_matched/indices/seed_67/ood_depth.npy
79,train,128,65,63,8601c03afa7908869bc946b361b2c33d7dad33b45d7ccb30e17c70f1073a7d23,results/index_matched/indices/seed_79/train.npy
79,val,128,65,63,47b44f4f28e39b32c548982790de862623f3afe3abd103c36865fe0b823dab65,results/index_matched/indices/seed_79/val.npy
79,test,128,68,60,69e790a210d4f9fa1f6a4dc1b12f100a054b5ce3e3ead1b52f747ea007a49349,results/index_matched/indices/seed_79/test.npy
79,ood_composition,128,67,61,b4ac83edc5a8ac3dc0c36611d7711df79a49167765532bcf6d84ca648fccca86,results/index_matched/indices/seed_79/ood_composition.npy
79,ood_depth,128,66,62,7a6a1ead71777c2be0afec35a019169455bc5e86a40279c0097644b5fdc2bb36,results/index_matched/indices/seed_79/ood_depth.npy
83,train,128,70,58,0ae942fe1382d4e6d3a29babd742e29c6a855cc9ce3b77649a7d97b651cc8cf9,results/index_matched/indices/seed_83/train.npy
83,val,128,66,62,68e682c2e4cded297f8dfb777df4f854a7b78ddfcb3a445b67848f6c82b1d944,results/index_matched/indices/seed_83/val.npy
83,test,128,63,65,1e326a54d3fd1991fb74e80b83240f44fa594a940efcd33481f5f34f990d839f,results/index_matched/indices/seed_83/test.npy
83,ood_composition,128,78,50,d88e2d7065695b3079a9b8d2f46b3f0cee1611a6200718f0fe961e979d9e46c3,results/index_matched/indices/seed_83/ood_composition.npy
83,ood_depth,128,61,67,eb4599f1644ae42a50dc0691010706f95e1b650a5d86a38c3d92c8f62e9bdf25,results/index_matched/indices/seed_83/ood_depth.npy
97,train,128,67,61,d69b8786c0434ac24d94a5be5380de80baac01c025a26da1e530c57b0b3d6496,results/index_matched/indices/seed_97/train.npy
97,val,128,65,63,00031acedd2ee75241800cd51e8a8f73ffb476aab9d549f61428119d78fbe994,results/index_matched/indices/seed_97/val.npy
97,test,128,65,63,09bd9e964f23227f1636fbb24c9d92b2a8c29b032a37dc344d0baa6800a82805,results/index_matched/indices/seed_97/test.npy
97,ood_composition,128,74,54,24ecb8a8acb2fb50dbbbf2df116ad3a8f8f1f8669800b11cb20eca36d4ea74f4,results/index_matched/indices/seed_97/ood_composition.npy
97,ood_depth,128,65,63,c26eaeae001c7e51d30e90898caf4aae499372f967438eb7222db816c345d4b7,results/index_matched/indices/seed_97/ood_depth.npy
109,train,128,63,65,935910953e87e6af8cc94cc936e4ae9417d920219c325ddec76f77616a28408a,results/index_matched/indices/seed_109/train.npy
109,val,128,76,52,92cc692f3cb61ba24921dc7f7fd6fb2d3b768df0b10de709eca0222bd1e02285,results/index_matched/indices/seed_109/val.npy
109,test,128,71,57,20e5d753350a1a1014090052c3558deede7e367ae64b19e0c787d6a07ade0b50,results/index_matched/indices/seed_109/test.npy
109,ood_composition,128,71,57,f11fbd17499ec7d5f6b1c294ba52cdbb4494f88050091f2fcfcb1a9f7eeef554,results/index_matched/indices/seed_109/ood_composition.npy
109,ood_depth,128,68,60,b3295e2238dfc965d5d87640b7015a271174cc21f04e3acfbc13f1e4d27c3f8b,results/index_matched/indices/seed_109/ood_depth.npy
