seed,split,selected_bond_dimension,parameter_count,training_runtime_seconds,direct_balanced_accuracy,kernel_balanced_accuracy,kernel_gamma_multiplier,kernel_gamma,kernel_C,kernel_validation_balanced_accuracy
11,test,16,12466,0.21082325000315905,0.48631476050830885,0.49608993157380255,1.0,0.49672430367782616,10.0,0.5146627565982405
11,ood_composition,16,12466,0.21082325000315905,0.4863247863247864,0.5061050061050061,1.0,0.49672430367782616,10.0,0.5146627565982405
11,ood_depth,16,12466,0.21082325000315905,0.5528028028028028,0.5515515515515516,1.0,0.49672430367782616,10.0,0.5146627565982405
23,test,8,3162,0.4130104170180857,0.5034213098729228,0.5080645161290323,2.0,0.997132362679232,10.0,0.5857843137254902
23,ood_composition,8,3162,0.4130104170180857,0.5163522012578616,0.540251572327044,2.0,0.997132362679232,10.0,0.5857843137254902
23,ood_depth,8,3162,0.4130104170180857,0.5168650793650793,0.5446428571428572,2.0,0.997132362679232,10.0,0.5857843137254902
37,test,8,3162,0.3939537919941358,0.4702775730778679,0.4727339719970523,0.5,0.2421285780499451,10.0,0.5868607780768289
37,ood_composition,8,3162,0.3939537919941358,0.5107207439938,0.5082665977783518,0.5,0.2421285780499451,10.0,0.5868607780768289
37,ood_depth,8,3162,0.3939537919941358,0.4777777777777778,0.5083028083028083,0.5,0.2421285780499451,10.0,0.5868607780768289
41,test,4,814,0.9355367090029176,0.5775335775335775,0.5775335775335775,0.5,0.26991536636763225,0.1,0.586754643206256
41,ood_composition,4,814,0.9355367090029176,0.5559153175591531,0.5559153175591531,0.5,0.26991536636763225,0.1,0.586754643206256
41,ood_depth,4,814,0.9355367090029176,0.4385836385836386,0.4385836385836386,0.5,0.26991536636763225,0.1,0.586754643206256
53,test,4,814,0.5781498750147875,0.5290811339198436,0.5205278592375366,0.5,0.24450711814348644,100.0,0.5768009768009768
53,ood_composition,4,814,0.5781498750147875,0.48678033110946384,0.49913516184828266,0.5,0.24450711814348644,100.0,0.5768009768009768
53,ood_depth,4,814,0.5781498750147875,0.4295566502463054,0.44433497536945815,0.5,0.24450711814348644,100.0,0.5768009768009768
67,test,32,49506,0.48048616698361,0.4726958240672103,0.46392389424264885,0.5,0.1288630356980744,0.1,0.5395604395604395
67,ood_composition,32,49506,0.48048616698361,0.47733990147783256,0.47586206896551725,0.5,0.1288630356980744,0.1,0.5395604395604395
67,ood_depth,32,49506,0.48048616698361,0.5068376068376068,0.4683760683760684,0.5,0.1288630356980744,0.1,0.5395604395604395
79,test,16,12466,0.70354899999802,0.5553921568627451,0.5480392156862746,0.5,0.15907059181686758,0.1,0.6095238095238096
79,ood_composition,16,12466,0.70354899999802,0.4936383655493027,0.5011010521164668,0.5,0.15907059181686758,0.1,0.6095238095238096
79,ood_depth,16,12466,0.70354899999802,0.5847996089931573,0.5847996089931573,0.5,0.15907059181686758,0.1,0.6095238095238096
83,test,4,814,0.575680249981815,0.46190476190476193,0.5001221001221001,0.5,0.25329089707022207,0.1,0.5872434017595307
83,ood_composition,4,814,0.575680249981815,0.4156410256410257,0.43435897435897436,0.5,0.25329089707022207,0.1,0.5872434017595307
83,ood_depth,4,814,0.575680249981815,0.5024467824810375,0.5555419623195498,0.5,0.25329089707022207,0.1,0.5872434017595307
97,test,16,12466,0.5707263330114074,0.5934065934065934,0.5936507936507937,2.0,0.9745906534512574,10.0,0.5785103785103785
97,ood_composition,16,12466,0.5707263330114074,0.4864864864864865,0.4754754754754755,2.0,0.9745906534512574,10.0,0.5785103785103785
97,ood_depth,16,12466,0.5707263330114074,0.4777777777777778,0.4782661782661783,2.0,0.9745906534512574,10.0,0.5785103785103785
109,test,32,49506,0.2669135830074083,0.49913516184828266,0.49555226093402516,0.5,0.19726525092266708,100.0,0.590587044534413
109,ood_composition,32,49506,0.2669135830074083,0.49036323202372123,0.5007412898443291,0.5,0.19726525092266708,100.0,0.590587044534413
109,ood_depth,32,49506,0.2669135830074083,0.5299019607843137,0.5279411764705882,0.5,0.19726525092266708,100.0,0.590587044534413
