seed,bond_dimension,validation_balanced_accuracy,parameter_count,runtime_seconds,best_epoch,epochs_run,converged_by_early_stopping,selected,checkpoint_sha256
11,2,0.5131964809384164,216,0.4361211670038756,1,21,True,False,42fa42c9b8e212c44b7be6cb11ff8bb0c7b4d8af1319a9ee3e6f2c53b2bf2f11
11,4,0.5224828934506354,814,0.417084042011993,5,25,True,False,d3f6a8b3c6cb028f6166f56af11fc1bddc6516f9c22e32d056fc22f397fdff8b
11,8,0.4953567937438905,3162,0.34452791599323973,2,22,True,False,fac1b8dc37d833f7f23daad7f80ab6e94b8e65dc484d126fdfd985baa97e3815
11,16,0.5276148582600195,12466,0.21082325000315905,1,21,True,True,476c1580fbb9117c2d6d02312b3ad773e0c1b5e762e8ef929f67708c9a25fcaa
11,32,0.5004887585532747,49506,0.3515979590010829,9,29,True,False,e42b639738eb94568a55460d0d059119cb639f906c80c0f2d04e628da028a3aa
23,2,0.5,216,0.45200199997634627,1,21,True,False,5766d72135a474c88d61cf61d452b3f519bbaad52f0d12af53057023e52ad683
23,4,0.5,814,0.27650341601110995,1,21,True,False,f1e28f176f77d3e89d8dd0a7853a38258592a68f9b5d93ad795d07479d536ff2
23,8,0.5901960784313726,3162,0.4130104170180857,6,26,True,True,ebdaa929a46b21aa0156d8026d0720da9bdebb4010b0b5ffaa73846e81c8350b
23,16,0.48284313725490197,12466,0.897170374984853,34,54,True,False,f5e9cdd7e8cae8dd7ade92a74ab2f44dfe56f4e6d0c7abb370740591a8a7f354
23,32,0.5593137254901961,49506,0.43242666698643006,1,21,True,False,cec2d3d9d22682fb333a090babf7dd44d57ad068f17dfcb2c8a9a8fddbcddc79
37,2,0.5267922681673599,216,0.2744153749954421,2,22,True,False,fb17c5f0db3caa69792cfbef3e215fd4667b34b6e02c3d82ffc5ae57d8b20e5b
37,4,0.5548079275752386,814,0.9787340829789173,39,59,True,False,2330365b48348e4ed9199f99733c6ce76005e0f54a856c657673802e26d99fae
37,8,0.6099828725226327,3162,0.3939537919941358,12,32,True,True,6f3b4b8234e28da490c5f59a517ae92e096f4585e75a726ce06461ee306539e3
37,16,0.5600685099094691,12466,0.6380899999930989,10,30,True,False,9edaf3d779152c0cf55f0764ad827ec6685dc1abbd45bfaba15c3f0095682e81
37,32,0.5846586738438952,49506,0.7996349580062088,30,50,True,False,1ae42072b57b52e55e0c3e180e06aa19e4ec610a8e1b5faaf7364635e6130661
41,2,0.49853372434017595,216,0.4575392499973532,11,31,True,False,3a5be88fef38ee25e308f26c6c9d93e8b5dc10e0ef7d1d7200f8a0c22dd4683e
41,4,0.5943304007820137,814,0.9355367090029176,38,58,True,True,5e365efc100d6c6114f0834501f4bd0e8d298dbb86bd1adffd25cc74024fa8f0
41,8,0.5398338220918866,3162,0.7591377909993753,34,54,True,False,8573c39949bd6552bcfe831b7595ed55c8ba7e8e6bcd432ac210f2253b94fa30
41,16,0.5923753665689149,12466,0.7414471250085626,27,47,True,False,f18d01a9549a9e58ce43be95daf4f3fccb313d6413180af8f2acfc0ef17d7d7e
41,32,0.5004887585532747,49506,0.5220627910166513,10,30,True,False,74760a744b3ad41224483b15a56fc06889a7211fcc3578ae1a2352278e0821a6
53,2,0.5307692307692308,216,0.3722832089988515,10,30,True,False,fab0a57ca67b0cfccae2edbf9905ad2f48d85289368b4d9eb878eebe428858f4
53,4,0.5777777777777777,814,0.5781498750147875,21,41,True,True,186c0051510f00bbd63781583510e9a95899ea036145fa65e42a669217edc616
53,8,0.5462759462759463,3162,0.3693453749874607,8,28,True,False,22e2e2e33746a180645d5b444640946a97181cf1625350fc7175f90a5a9fb313
53,16,0.5474969474969476,12466,0.2891379169886932,13,33,True,False,6fc2995d6a88b4f20862a56b593e6bee20f14cd4f7e293390401020d32e66af8
53,32,0.5772893772893772,49506,0.5036787919816561,5,25,True,False,d906caabe95107f0a3fb60afe607ff23658bfba828e35ebd28408ccf1a32590a
67,2,0.5461538461538462,216,0.6727343749953434,46,66,True,False,c9d57c1bb6f5946fcdee3d454554ce466f2ff30cee44c2c2e57731c2e600b219
67,4,0.5470085470085471,814,0.6330102079955395,18,38,True,False,d4f0433711097feaf5237dd1211b8e69d7b2fb3b0928994c02f8a4d3f71840b6
67,8,0.5157509157509157,3162,0.17959691598662175,1,21,True,False,601333347df94e46d85a636eb0a550188f6945f2e515fa8a7412a86f333ecf2c
67,16,0.5345543345543345,12466,0.4904689159884583,7,27,True,False,c27eb96b22dfed930cbbca00b70161dc13aae511bc99663ad9f33ee7c7b3919f
67,32,0.554945054945055,49506,0.48048616698361,9,29,True,True,c3d9844b4d2c6289dacf7cd7b12ba7e9ecd854cd7e7feffdbc6b5e92dbc0eca3
79,2,0.5537240537240538,216,0.5703862920054235,22,42,True,False,e8609d71d67c53ff06807614a3dbb93d6209553c30f65e48a5cb78c6d8ec40e7
79,4,0.5,814,0.2916704159870278,1,21,True,False,3f02a43b19ff021bf6b29ae6b49d4e153d983fe5fde3a67bd66d8f778885d83b
79,8,0.5782661782661782,3162,0.601160374993924,39,59,True,False,e63e22fc02af2ecee338127a4fe99688cecd6a250a649d4ddd50a8f5648c8921
79,16,0.6095238095238096,12466,0.70354899999802,11,31,True,True,2c20cfd595b48c58bc36169d31637b5e6a521cd1cd2c2ef73c2b0a8ea6b90ebb
79,32,0.5107448107448107,49506,0.2804001249896828,1,21,True,False,db749e68582c4274d5d6de9380a88511c1854c3e531373931c0944177ea1ea3a
83,2,0.5620723362658846,216,0.48022870800923556,3,23,True,False,926984b7e4565922af133c7ef0f8a886e03ea4c8b7f8a78bd1472b19bd7c5b91
83,4,0.5786901270772238,814,0.575680249981815,18,38,True,True,46478845a615debac5c74416e86b45cf607509de646a089540153ae1de39150c
83,8,0.5070869990224829,3162,1.0957414580043405,52,72,True,False,0b73a55f503f074a55a9de40c72f630a0d271c9eeef4b7b892e8f1e8649952ec
83,16,0.5317693059628543,12466,0.43513804199756123,13,33,True,False,0a390357c9df3b6417e6b570d19d33e18b22f8c9eb94a5c889fc01ca5617e525
83,32,0.5320136852394917,49506,0.5320307080110069,1,21,True,False,c480d1d1455084d198f155cb5c95f700489b8c3e8becf6c6e64b0c0ec61820e9
97,2,0.5159951159951159,216,0.29549866702291183,3,23,True,False,e77eea5785773b1754b02cbc69cde0da05fd55fd58d571c3033e4665d74636a3
97,4,0.5376068376068376,814,0.9605678750085644,30,50,True,False,495dcd76cbc16d835c4f81339191cac21e714e8acc558706dd0aec4dc3b10941
97,8,0.5316239316239316,3162,0.3517786250158679,9,29,True,False,fa34b7baf078e9287455c0e82d45634921e2636bb148ac312571d532d136e1a1
97,16,0.5782661782661782,12466,0.5707263330114074,10,30,True,True,7e82eddc6ae030d67b3d827b141b494605bbf275bafe0d564245921d5737c249
97,32,0.5162393162393163,49506,0.5058739999949466,20,40,True,False,a64bedd6851b5ab9536ddf6ee453866a49c3ea55cfb2ad5945735688309a6508
109,2,0.562246963562753,216,0.6549253329867497,15,35,True,False,153858894a9cf22f296d474a93913166332c5bbcaf2fa153827e1710803d5718
109,4,0.5,814,0.250773791980464,1,21,True,False,3870e4ebd345eb99e87f395a7798afdc73e0901f8c9b819a92555dcc81b90619
109,8,0.5465587044534413,3162,0.5202245419786777,11,31,True,False,8ed8820bd5a285591f6b53f23b99d625d2dfc282d74af03881e13f9ab585173f
109,16,0.5511133603238866,12466,0.39584325000760145,1,21,True,False,45a7c9454cdb98f80d8c10816098bb18c38407f539325c0715656b8611c6852f
109,32,0.5662955465587045,49506,0.2669135830074083,5,25,True,True,2d597260fb29360ee1946c2855688e74e8d0258beb1287b53a22b52aa067575a
